,day,factor,required,delivery,percents,num_vehicle,carbon_emission(kg)
0,93,1.0,21.6,21.6,100.0,2,5.9431718042652575
0,94,1.0,14.4,14.4,100.0,1,1.4396963182607745
0,95,1.0,341.28,336.58,98.62,20,47.967055812505166
0,96,1.0,318.24,305.15,95.89,18,42.32982222897383
0,97,1.0,329.18,309.52,94.03,22,42.62072910103059
0,98,1.0,322.82,291.55,90.31,21,38.12526756410057
0,99,1.0,383.76,335.7,87.48,24,40.34753741501453
0,100,1.0,50.16,50.16,100.0,6,8.516286748939994
0,101,1.0,106.42,106.42,100.0,7,15.29262141498193
0,102,1.0,420.48,369.69,87.92,31,50.393799530265454
0,103,1.0,356.76,281.16,78.81,27,38.20919818293404
0,104,1.0,335.92,270.52,80.53,26,40.95522574443407
0,105,1.0,431.14,343.64,79.7,32,51.148304959450556
0,106,1.0,273.24,241.58,88.41,17,38.659433998216635
0,107,1.0,28.8,28.8,100.0,2,5.539589764494996
0,108,1.0,28.8,28.8,100.0,1,2.980781923682176
0,109,1.0,200.3,200.3,100.0,17,24.67969848771132
0,110,1.0,407.16,348.06,85.48,25,44.30889495933794
0,111,1.0,295.18,271.74,92.06,21,44.6615360665098
0,112,1.0,309.22,287.07,92.84,25,41.06205855796515
0,113,1.0,237.6,235.05,98.93,16,29.936621354483506
0,114,1.0,51.84,51.84,100.0,5,9.572792928285372
0,115,1.0,8.64,8.64,100.0,1,2.1226598070422305
0,116,1.0,338.57,334.97,98.94,23,39.53209143785737
0,117,1.0,378.22,346.23,91.54,27,49.08831466735888
0,118,1.0,444.1,317.94,71.59,29,49.749998800447834
0,119,1.0,304.92,240.85,78.99,24,43.04341933026094
0,120,1.0,393.84,324.33,82.35,26,34.25117302645063
0,121,1.0,263.3,259.88,98.7,20,20.423177048142747
0,122,1.0,450.72,345.5,76.66,28,45.173985367314465
0,123,1.0,354.96,318.42,89.71,24,53.03465773826018
0,124,1.0,350.06,312.86,89.37,23,54.13353579444401
0,125,1.0,410.18,344.49,83.99,27,50.81833695691767
0,126,1.0,41.76,41.76,100.0,4,7.108303539316528
0,127,1.0,15.84,15.84,100.0,2,2.820835068916044
0,128,1.0,275.04,275.04,100.0,21,28.873405476035654
0,129,1.0,447.48,393.02,87.83,32,58.186328556217
0,130,1.0,307.3,300.02,97.63,24,45.772110944094656
0,131,1.0,261.39,261.39,100.0,24,44.51607165849106
0,132,1.0,401.12,299.96,74.78,27,50.30734871697859
0,133,1.0,21.6,21.6,100.0,2,4.858084113572012
0,134,1.0,21.6,21.6,100.0,2,5.223194712075146
0,135,1.0,287.83,260.02,90.34,22,27.244220625198807
0,136,1.0,326.96,315.44,96.48,23,36.2813163155021
0,137,1.0,261.0,261.0,100.0,21,29.28161174714188
0,138,1.0,400.93,334.26,83.37,28,32.4310946927148
0,139,1.0,295.2,287.05,97.24,19,33.292853210632195
0,140,1.0,15.84,15.84,100.0,2,2.637706380261125
