date,hashcode,arrival time,departure time,required energy
20210114,-1135287161356782367,36,7,7.2
20210114,-6461814495394118895,7,9,14.4
20210114,2585196749829987991,7,12,7.92
20210114,885843050192888149,8,12,28.8
20210114,-2946847122699154833,41,12,7.2
20210114,8248346431092248260,42,15,18.0
20210114,5092175384433619388,13,16,21.6
20210114,-5032868257875194131,43,15,12.02
20210114,-4304432489298355294,14,16,3.0
20210114,-3807651148422241957,45,16,7.2
20210115,-649538573264654976,0,2,14.4
20210115,-649538573264654976,2,3,10.8
20210115,-5117977818912866300,5,7,14.4
20210115,-333394643682494087,6,9,25.2
20210115,-6895670320955208391,6,10,28.8
20210115,5676425991215679769,6,10,5.76
20210115,-1135287161356782367,36,7,7.2
20210115,-6461814495394118895,7,9,14.4
20210115,2585196749829987991,7,12,7.92
20210115,4876867253410653446,8,12,28.8
20210115,5092175384433619388,9,12,21.6
20210115,-3946710094207837487,39,10,7.2
20210115,-3790371143371377667,39,16,9.36
20210115,2022154938389056120,40,11,9.0
20210115,5410612690468526969,40,13,21.6
20210115,8248346431092248260,47,14,13.82
20210115,-1793815564369325227,13,16,21.6
20210115,8567126691916760858,14,17,21.6
20210116,-649538573264654976,0,2,14.4
20210116,-649538573264654976,2,3,10.8
20210116,6987318350019114177,14,16,3.0
20210117,-6682883399122277774,41,12,7.2
20210117,-6682883399122277774,14,18,28.8
20210117,-7631734720817692176,61,18,10.8
20210117,8248346431092248260,32,21,28.8
20210118,7921145478050918603,41,12,7.2
20210119,-5117977818912866300,5,7,14.4
20210119,-333394643682494087,6,9,25.2
20210119,-6895670320955208391,6,10,28.8
20210119,5676425991215679769,6,10,5.76
20210119,-8800005105942951559,6,13,50.4
20210119,-1135287161356782367,36,7,7.2
20210119,-5432639813448727208,36,8,2.88
20210119,-6461814495394118895,7,9,14.4
20210119,2585196749829987991,7,12,7.92
20210119,-3790371143371377667,37,15,11.52
20210119,5751648566796612478,38,10,10.8
20210119,-152860818020396042,39,14,36.0
20210119,2022154938389056120,54,15,43.2
20210119,3718741780888569009,54,12,21.6
20210119,5448709080137302862,10,14,28.8
20210119,5448709080137302862,14,15,7.78
20210119,-4517257386803469926,14,16,14.4
20210119,-3807651148422241957,15,16,7.2
20210120,-5117977818912866300,5,7,14.4
20210120,-333394643682494087,6,9,25.2
20210120,-6895670320955208391,6,10,28.8
20210120,5676425991215679769,6,10,5.76
20210120,-8800005105942951559,6,9,21.6
20210120,-1135287161356782367,36,7,7.2
20210120,-6461814495394118895,7,9,14.4
20210120,2585196749829987991,7,12,7.92
20210120,5751648566796612478,23,9,10.8
20210120,-3946710094207837487,39,10,7.2
20210120,5410612690468526969,10,13,21.6
20210120,-1793815564369325227,13,16,21.6
20210120,-3807651148422241957,45,16,7.2
20210121,-5117977818912866300,5,7,14.4
20210121,-333394643682494087,6,9,25.2
20210121,-6895670320955208391,6,10,28.8
20210121,5676425991215679769,6,10,5.76
20210121,-8800005105942951559,6,15,12.96
20210121,-6461814495394118895,7,9,14.4
20210121,2585196749829987991,7,12,7.92
20210121,5092175384433619388,9,13,28.8
20210121,-333394643682494087,39,10,7.2
20210121,-3790371143371377667,39,14,7.2
20210121,6987318350019114177,44,12,3.17
20210121,8248346431092248260,32,15,19.22
20210121,-4304432489298355294,58,16,3.24
20210121,-3807651148422241957,15,16,7.2
20210122,-649538573264654976,0,2,14.4
20210122,-5117977818912866300,5,7,14.4
20210122,-333394643682494087,6,9,25.2
20210122,-6895670320955208391,6,10,28.8
20210122,5676425991215679769,6,10,5.76
20210122,-8800005105942951559,6,10,28.8
20210122,-6461814495394118895,7,9,14.4
20210122,2585196749829987991,7,12,7.92
20210122,5092175384433619388,9,13,28.8
20210122,2022154938389056120,40,13,18.0
20210122,5751648566796612478,13,14,10.8
20210122,8248346431092248260,28,14,9.0
20210122,-3807651148422241957,44,15,7.2
20210122,8248346431092248260,16,18,14.4
20210123,-649538573264654976,0,2,14.4
20210123,-649538573264654976,2,3,10.8
20210123,6987318350019114177,14,16,3.43
20210124,-649538573264654976,0,2,14.4
20210124,-649538573264654976,2,3,10.8
20210124,-6682883399122277774,40,14,28.8
20210125,-649538573264654976,0,2,14.4
20210125,-649538573264654976,2,3,10.8
20210125,-5117977818912866300,5,7,14.4
20210125,5676425991215679769,6,10,5.76
20210125,-8800005105942951559,6,15,13.68
20210125,-1135287161356782367,36,7,7.2
20210125,-6461814495394118895,7,9,14.4
20210125,2585196749829987991,7,12,7.92
20210125,297337539398252134,9,15,43.2
20210125,5410612690468526969,10,13,21.6
20210125,8248346431092248260,47,15,17.42
20210125,-1793815564369325227,13,16,21.6
20210125,5751648566796612478,13,14,10.8
20210125,-3807651148422241957,30,16,7.2
