Supply 02/24/2021,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,3863,3814,3792,3742,3747,3767,3795,3813,3838,3892,3957,4022,4114,4200,4203,4215,4124,4022,3981,3965,3999,4057,4100,4189,4325,4426,4480,4538,4572,4578,4569,4594,4627,4669,4701,4727,4745,4747,4741,4747,4748,4744,4760,4790,4796,4810,4774,4727,4672,4641,4625,4565,4482,4464,4413,4377,4367,4346,4355,4336,4280,4258,4158,4056,3960,3828,3669,3589,3583,3608,3665,3710,3740,3730,3756,3803,3878,3953,4010,4087,4267,4515,4810,5187,5649,6066,6559,7062,7582,8088,8612,9167,9699,10225,10768,11331,11796,12164,12681,13074,13358,13670,13952,14154,14391,14500,14636,14757,14875,15007,15104,15175,15280,15432,15574,15639,15751,15793,15806,15834,15828,15870,15971,16032,16108,16094,16067,16038,16005,15980,15978,16010,15986,16024,15975,15914,15911,15890,15910,15882,15890,15894,15912,15926,15954,15983,16062,16174,16256,16228,16261,16188,16055,16088,16154,16193,16266,16351,16451,16605,16737,16819,16886,16883,16901,16925,16982,17004,16883,17123,17254,17114,16954,16913,16914,16789,16783,16673,16852,16986,16996,17200,17319,17181,16945,16967,16844,16625,16419,16241,16078,15568,14884,14440,14034,13592,13098,12554,12006,11406,10884,10407,9922,9381,8748,8214,7755,7283,6930,6707,6529,6410,6350,6371,6349,6400,6464,6484,6542,6561,6484,6418,6399,6437,6448,6420,6533,6561,6556,6655,6751,6795,6812,6776,6802,6777,6752,6717,6701,6699,6715,6693,6778,6768,6744,6722,6657,6591,6543,6492,6433,6386,6364,6302,6242,6180,6085,5996,5984,5915,5866,5855,5907,5884,5883,5853,5785,5675,5538,5422,5341,5268,5208,5089,4933,4790,4647,4515,4360,4214,4116,4020,3911,3889,3893,3920,3949,3977,
Natural gas,8478,8870,9233,9416,9421,9379,9224,8579,8575,8444,8327,8202,8100,8041,7997,7971,7898,7963,7986,7935,7986,8005,7937,7785,7667,7554,7445,7365,7324,7305,7321,7297,7260,7204,7131,7142,7114,7075,7095,7133,7206,7159,7132,7101,7170,7096,7215,7313,7404,7557,7614,7706,7785,7837,7951,8176,8331,8402,8434,8518,8549,8579,8658,8807,8907,9036,9147,9410,9476,9535,9522,9564,9606,9652,9652,9793,9842,9844,9836,9863,9899,9797,9608,9357,9215,9083,8881,8749,8610,8521,8180,7921,7694,7602,7408,7298,7727,7532,7192,6885,6491,6127,5946,5923,5752,5373,5152,5115,4847,4752,4700,4845,4831,4742,4663,4650,4639,4500,4412,4345,4326,4176,4007,3952,3959,3696,3540,3487,3632,3646,3664,3765,3842,3786,3807,3784,3730,3714,3697,3729,3757,3722,3748,3742,3707,3753,3710,3782,3830,3778,3773,3694,3774,3737,3723,3720,3721,3706,3737,3617,3698,3728,3633,3672,3666,3725,3787,3867,3840,3807,3955,4014,4022,3897,3813,3753,3778,3978,4065,4246,4469,4506,4537,4533,4607,4544,4513,4518,4396,4605,4722,4717,5019,5808,6044,6192,6305,6429,6488,6429,6274,6594,6655,6806,7097,7311,7594,7773,8158,8667,9112,9474,9755,9880,10105,10051,10145,10010,9766,9871,9987,10220,10485,10591,10731,10801,10737,10654,10606,10663,10765,10746,10689,10699,10560,10540,10429,10455,10486,10556,10561,10361,10222,10240,10200,10187,10102,9982,9911,9782,9853,9882,9845,9906,9908,10041,10022,10010,9948,9792,9574,9575,9515,9427,9369,9320,9161,9068,9146,9124,9157,9152,9106,9047,8989,8990,8980,8895,8857,8879,8975,9067,9004,8808,8619,8578,8460,8373
Large hydro,695,720,649,636,632,621,630,628,625,626,643,660,663,671,675,674,684,684,686,665,648,641,636,633,627,643,640,641,660,674,676,668,659,658,663,662,661,647,621,613,616,618,621,620,616,616,620,625,632,640,667,691,713,682,693,695,676,688,689,691,694,790,920,932,937,947,972,1018,1108,1274,1357,1355,1421,1482,1462,1442,1402,1421,1451,1416,1361,1330,1302,1260,1207,1191,1130,1052,897,901,899,899,893,896,869,766,571,456,471,474,471,475,457,426,444,464,469,509,529,256,194,161,162,173,173,158,170,194,191,201,209,211,185,276,239,211,180,175,158,156,136,134,147,120,90,94,94,90,87,95,107,96,100,100,98,114,107,83,57,74,111,97,91,84,94,85,79,114,140,123,132,129,125,121,122,149,152,133,187,107,68,42,86,98,100,110,108,117,70,50,75,68,31,77,195,210,213,314,447,493,543,559,553,426,323,304,293,301,328,538,616,729,944,1121,1271,1348,1409,1417,1481,1438,1365,1406,1464,1514,1518,1616,1750,1950,1899,1786,1852,1796,1795,1680,1642,1611,1581,1558,1462,1287,1193,1191,1161,1161,1130,1148,1148,1156,1157,1132,1111,990,965,959,946,889,885,891,898,883,877,873,883,883,869,860,858,848,852,852,837,824,817,809,816,692,681,682,678,672,671,676,684,683,687,694,700,741,722,693,652,648,650,647,645,642,640,635
Imports,6879,6711,6635,6726,6854,6915,6948,6804,6742,6745,6689,6637,6581,6508,6498,6472,6534,6538,6506,6541,6448,6361,6329,6334,6253,6309,6369,6373,6393,6341,6310,6296,6278,6290,6323,6274,6272,6344,6376,6363,6266,6273,6224,6154,6003,6003,5907,5832,5835,5902,5927,5898,5920,6004,6029,5952,5927,5914,5929,5958,6110,6398,6542,6585,6626,6696,6833,6793,6780,6723,6779,6818,6894,7045,7200,7196,7223,7248,7170,7182,7136,7099,7108,6975,6742,6722,6782,6433,6088,5785,5525,5262,4886,4400,4050,3713,3148,3293,3131,2952,2818,2648,2502,2498,2255,2086,1935,1654,1607,1939,2090,2105,1847,1694,1461,1335,1096,919,788,660,529,557,603,506,496,485,698,852,728,528,488,548,442,368,376,240,155,166,92,165,147,85,117,16,-18,-46,-98,-36,-45,-76,-325,-131,-20,-114,-151,-241,-246,-342,-516,-558,-571,-559,-611,-528,-517,-495,-526,-515,-471,-562,-559,-375,-419,-432,-458,-338,-260,-236,-214,-357,-398,-489,-458,-411,-292,-390,-200,-69,75,7,15,330,878,1296,1727,2062,2522,3274,3962,4272,4912,5250,5654,6055,6390,6713,7181,7431,7494,7317,7191,7276,7376,7363,7347,7505,7507,7417,7452,7606,7778,7778,7662,7613,7663,7669,7676,7631,7539,7588,7499,7460,7464,7463,7485,7556,7639,7579,7525,7390,7314,7403,7345,7310,7279,7269,7300,7414,7459,7512,7398,7353,7304,7218,7232,7111,7141,7154,7139,7257,7430,7395,7356,7384,7320,7297,7325,7343,7423,7466,7376,7305,7278,7404,7594,7660,7663,7624,7599,7673,7755,7790,7921,7977,8065,7938,7946,7847
Batteries,-10,-7,-32,-83,-45,-29,-39,-29,-24,-44,-44,-25,-51,-52,-58,-53,-67,-50,-37,-65,-46,-62,-67,-53,-50,-112,-121,-105,-117,-102,-115,-102,-117,-103,-117,-118,-103,-107,-122,-117,-102,-117,-84,-36,7,34,56,67,-24,-29,-16,4,44,14,2,6,9,-10,8,-3,-13,-46,-108,-72,-56,-60,-53,-26,14,-8,-70,-57,-49,125,212,210,189,184,191,168,162,171,177,175,156,-24,-98,-35,-3,-15,-25,-17,-18,-18,-47,-33,-96,-176,-182,-127,-69,-55,-94,-220,-162,-34,24,65,85,78,-55,-192,-141,-147,-138,-175,-117,-7,50,62,100,86,46,-78,12,74,14,-55,-37,29,-23,-133,-80,-77,-55,115,192,154,144,28,36,89,-12,83,43,-5,-52,-145,-154,-120,-11,-85,-106,-22,4,34,18,13,81,11,-93,-130,-71,-110,-121,-148,-128,-225,-166,-169,-269,-200,-58,59,76,87,42,86,10,-46,-68,-203,-163,-127,-24,54,13,-40,-148,-90,6,109,27,-61,-7,94,86,6,-12,60,-12,-77,-94,-72,-40,-103,-33,70,120,84,46,-28,-121,-114,-28,-76,-78,102,203,230,181,180,167,122,97,88,106,103,92,33,5,21,5,-4,0,-18,-24,-24,-24,-33,-56,65,104,103,101,104,103,103,110,103,103,103,103,93,92,86,92,92,92,92,92,71,13,-9,-14,9,61,41,-29,-13,-8,-8,-8,-8,-8,2,1,-8,-8,-13,-89,-112,-116,-103,-103,-108,-103,-103
Nuclear,1146,1147,1146,1146,1146,1146,1147,1147,1146,1147,1147,1147,1147,1147,1146,1146,1147,1147,1147,1147,1147,1147,1146,1147,1147,1147,1148,1147,1147,1147,1147,1147,1148,1147,1147,1147,1148,1148,1148,1147,1147,1147,1148,1147,1147,1147,1147,1147,1146,1147,1147,1146,1147,1147,1147,1147,1147,1147,1147,1148,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1148,1147,1148,1147,1147,1148,1147,1147,1148,1148,1148,1147,1147,1146,1147,1147,1147,1147,1147,1148,1147,1148,1147,1147,1148,1147,1147,1147,1147,1147,1146,1147,1146,1146,1147,1146,1147,1147,1147,1146,1147,1147,1147,1147,1147,1146,1147,1147,1146,1146,1146,1146,1147,1147,1146,1147,1147,1147,1147,1147,1147,1147,1148,1147,1147,1146,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1146,1147,1147,1147,1147,1147,1147,1147,1146,1146,1146,1146,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1146,1147,1147,1147,1147,1146,1147,1146,1148,1148,1147,1148,1147,1148,1147,1147,1148,1148,1147,1147,1147,1147,1147,1147,1148,1148,1147,1147,1147,1148,1147,1147,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1149,1148,1148,1149,1148,1147,1147,1147,1147,1147,1148,1147,1148,1148,1147,1147,1148,1147,1148,1148,1147,1147,1148,1147,1147,1148,1148,1148,1147,1147,1148,1148,1148,1147,1149,1150,1150,1151,1151,1151,1151,1150,1150,1151,1151,1150,1151,1151,1151,1151,1151,1151,1151,1150,1149,1148,1148,1148,1148,1148,1148,1148,1148
Coal,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,18,19,19,19,19,19,18,19,19,18,19,18,19,18,18,19,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,17,17,16,16,16,16,17,17,16,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,16,17,16,17,17,17,17,17,17,17,17,16,18,18,18,18,18,18,18,17,17,17,17,17,15,15,15,16,16,16,17,17,18,15,15,15,17,16,16,16,16,17,16,17,17,17,16,17,17,17,17,17,17,17,17,16,16,16,17,17,17,16,16,17,17,17,17,17,17,17,16,17,17,18,17,18,18,18,18,17,18,17,18,18,19,19,19,19,18,17,16,18,19,19,19,19,19,19,19,19,19,18,19,19,19,20,20,20,21,20,19,19,19,19,19,20,19,19,18,18,18,18,18,18,18,17,17,18,18,18,17,17,17,17,17,17,17,18,18,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,18,17,17,18,17,17,17,17,17,18,19,18,18,18,17,18,18,18,19,18,18,19,19,18,18,18,18,18,18,18,18,19,19,20,19,20,21,21,21,20,21,20
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
