INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-03-02T01:00:00-00:00,2021-03-02T02:00:00-00:00,1,2021-03-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3166.55,DAM,1
2021-03-01T15:00:00-00:00,2021-03-01T16:00:00-00:00,1,2021-03-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3182.1,DAM,1
2021-03-01T22:00:00-00:00,2021-03-01T23:00:00-00:00,1,2021-03-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2355.59,DAM,1
2021-03-02T04:00:00-00:00,2021-03-02T05:00:00-00:00,1,2021-03-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3128.86,DAM,1
2021-03-01T11:00:00-00:00,2021-03-01T12:00:00-00:00,1,2021-03-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2748.65,DAM,1
2021-03-01T14:00:00-00:00,2021-03-01T15:00:00-00:00,1,2021-03-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3492.02,DAM,1
2021-03-01T20:00:00-00:00,2021-03-01T21:00:00-00:00,1,2021-03-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2214.68,DAM,1
2021-03-02T02:00:00-00:00,2021-03-02T03:00:00-00:00,1,2021-03-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3301.97,DAM,1
2021-03-02T03:00:00-00:00,2021-03-02T04:00:00-00:00,1,2021-03-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3234.44,DAM,1
2021-03-02T00:00:00-00:00,2021-03-02T01:00:00-00:00,1,2021-03-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2842.24,DAM,1
