INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-09-01T19:00:00-00:00,2021-09-01T20:00:00-00:00,1,2021-09-01,13,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1972.34,DAM,2
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,1,2021-09-01,7,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1648.16,DAM,2
2021-09-01T14:00:00-00:00,2021-09-01T15:00:00-00:00,1,2021-09-01,8,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1706.31,DAM,2
2021-09-01T12:00:00-00:00,2021-09-01T13:00:00-00:00,1,2021-09-01,6,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1545.92,DAM,2
2021-09-01T16:00:00-00:00,2021-09-01T17:00:00-00:00,1,2021-09-01,10,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1792.5,DAM,2
2021-09-01T10:00:00-00:00,2021-09-01T11:00:00-00:00,1,2021-09-01,4,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1453.1,DAM,2
2021-09-01T08:00:00-00:00,2021-09-01T09:00:00-00:00,1,2021-09-01,2,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1553.52,DAM,2
2021-09-01T21:00:00-00:00,2021-09-01T22:00:00-00:00,1,2021-09-01,15,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2228.97,DAM,2
2021-09-01T20:00:00-00:00,2021-09-01T21:00:00-00:00,1,2021-09-01,14,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2081.79,DAM,2
2021-09-01T11:00:00-00:00,2021-09-01T12:00:00-00:00,1,2021-09-01,5,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1475.12,DAM,2
