INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-06-01T12:00:00-00:00,2021-06-01T13:00:00-00:00,1,2021-06-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2836.56,DAM,1
2021-06-02T01:00:00-00:00,2021-06-02T02:00:00-00:00,1,2021-06-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5127.56,DAM,1
2021-06-01T23:00:00-00:00,2021-06-02T00:00:00-00:00,1,2021-06-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5148.29,DAM,1
2021-06-02T00:00:00-00:00,2021-06-02T01:00:00-00:00,1,2021-06-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5258.38,DAM,1
2021-06-02T03:00:00-00:00,2021-06-02T04:00:00-00:00,1,2021-06-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4737.22,DAM,1
2021-06-01T14:00:00-00:00,2021-06-01T15:00:00-00:00,1,2021-06-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3063.48,DAM,1
2021-06-01T18:00:00-00:00,2021-06-01T19:00:00-00:00,1,2021-06-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3755.78,DAM,1
2021-06-02T04:00:00-00:00,2021-06-02T05:00:00-00:00,1,2021-06-01,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4436.28,DAM,1
2021-06-02T06:00:00-00:00,2021-06-02T07:00:00-00:00,1,2021-06-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3653.72,DAM,1
2021-06-01T11:00:00-00:00,2021-06-01T12:00:00-00:00,1,2021-06-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2811.51,DAM,1
