INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-11-01T11:00:00-00:00,2021-11-01T12:00:00-00:00,1,2021-11-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2484.57,DAM,1
2021-11-02T05:00:00-00:00,2021-11-02T06:00:00-00:00,1,2021-11-01,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3001.83,DAM,1
2021-11-01T18:00:00-00:00,2021-11-01T19:00:00-00:00,1,2021-11-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2798.82,DAM,1
2021-11-01T12:00:00-00:00,2021-11-01T13:00:00-00:00,1,2021-11-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2628.32,DAM,1
2021-11-01T23:00:00-00:00,2021-11-02T00:00:00-00:00,1,2021-11-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3539.57,DAM,1
2021-11-02T04:00:00-00:00,2021-11-02T05:00:00-00:00,1,2021-11-01,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3221.15,DAM,1
2021-11-02T06:00:00-00:00,2021-11-02T07:00:00-00:00,1,2021-11-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2786.77,DAM,1
2021-11-01T22:00:00-00:00,2021-11-01T23:00:00-00:00,1,2021-11-01,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3361.93,DAM,1
2021-11-02T00:00:00-00:00,2021-11-02T01:00:00-00:00,1,2021-11-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3651.84,DAM,1
2021-11-02T02:00:00-00:00,2021-11-02T03:00:00-00:00,1,2021-11-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3560.39,DAM,1
2021-11-01T09:00:00-00:00,2021-11-01T10:00:00-00:00,1,2021-11-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2443.1,DAM,1
2021-11-01T10:00:00-00:00,2021-11-01T11:00:00-00:00,1,2021-11-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2415.69,DAM,1
2021-11-01T13:00:00-00:00,2021-11-01T14:00:00-00:00,1,2021-11-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2809.69,DAM,1
2021-11-01T08:00:00-00:00,2021-11-01T09:00:00-00:00,1,2021-11-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2504.12,DAM,1
2021-11-01T15:00:00-00:00,2021-11-01T16:00:00-00:00,1,2021-11-01,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2753.92,DAM,1
2021-11-01T16:00:00-00:00,2021-11-01T17:00:00-00:00,1,2021-11-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2722.52,DAM,1
2021-11-01T14:00:00-00:00,2021-11-01T15:00:00-00:00,1,2021-11-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2806.92,DAM,1
2021-11-01T19:00:00-00:00,2021-11-01T20:00:00-00:00,1,2021-11-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2934.73,DAM,1
2021-11-01T20:00:00-00:00,2021-11-01T21:00:00-00:00,1,2021-11-01,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3084.93,DAM,1
2021-11-02T01:00:00-00:00,2021-11-02T02:00:00-00:00,1,2021-11-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3673,DAM,1
2021-11-02T03:00:00-00:00,2021-11-02T04:00:00-00:00,1,2021-11-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3417.21,DAM,1
2021-11-01T21:00:00-00:00,2021-11-01T22:00:00-00:00,1,2021-11-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3230.94,DAM,1
2021-11-01T07:00:00-00:00,2021-11-01T08:00:00-00:00,1,2021-11-01,1,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2632.86,DAM,1
2021-11-01T17:00:00-00:00,2021-11-01T18:00:00-00:00,1,2021-11-01,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2729.61,DAM,1
2021-11-01T13:00:00-00:00,2021-11-01T14:00:00-00:00,1,2021-11-01,7,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1574.83,DAM,2
2021-11-01T23:00:00-00:00,2021-11-02T00:00:00-00:00,1,2021-11-01,17,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1764.2,DAM,2
2021-11-01T16:00:00-00:00,2021-11-01T17:00:00-00:00,1,2021-11-01,10,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1742.59,DAM,2
2021-11-01T18:00:00-00:00,2021-11-01T19:00:00-00:00,1,2021-11-01,12,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1750.84,DAM,2
2021-11-01T22:00:00-00:00,2021-11-01T23:00:00-00:00,1,2021-11-01,16,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1733.13,DAM,2
2021-11-01T11:00:00-00:00,2021-11-01T12:00:00-00:00,1,2021-11-01,5,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1312.36,DAM,2
2021-11-02T01:00:00-00:00,2021-11-02T02:00:00-00:00,1,2021-11-01,19,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1869.25,DAM,2
2021-11-01T20:00:00-00:00,2021-11-01T21:00:00-00:00,1,2021-11-01,14,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1734.05,DAM,2
2021-11-01T10:00:00-00:00,2021-11-01T11:00:00-00:00,1,2021-11-01,4,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1271.78,DAM,2
2021-11-01T19:00:00-00:00,2021-11-01T20:00:00-00:00,1,2021-11-01,13,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1742.48,DAM,2
2021-11-01T12:00:00-00:00,2021-11-01T13:00:00-00:00,1,2021-11-01,6,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1402.18,DAM,2
2021-11-01T17:00:00-00:00,2021-11-01T18:00:00-00:00,1,2021-11-01,11,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1748.17,DAM,2
2021-11-01T14:00:00-00:00,2021-11-01T15:00:00-00:00,1,2021-11-01,8,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1698.34,DAM,2
2021-11-01T21:00:00-00:00,2021-11-01T22:00:00-00:00,1,2021-11-01,15,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1727.6,DAM,2
2021-11-01T08:00:00-00:00,2021-11-01T09:00:00-00:00,1,2021-11-01,2,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1294.9,DAM,2
2021-11-02T05:00:00-00:00,2021-11-02T06:00:00-00:00,1,2021-11-01,23,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1590.69,DAM,2
