INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,1,2021-10-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3638.2,DAM,1
2021-10-01T21:00:00-00:00,2021-10-01T22:00:00-00:00,1,2021-10-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3552.32,DAM,1
2021-10-01T14:00:00-00:00,2021-10-01T15:00:00-00:00,1,2021-10-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2902.7,DAM,1
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,1,2021-10-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2810.43,DAM,1
2021-10-01T10:00:00-00:00,2021-10-01T11:00:00-00:00,1,2021-10-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2655.48,DAM,1
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,1,2021-10-01,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2914.26,DAM,1
2021-10-01T20:00:00-00:00,2021-10-01T21:00:00-00:00,1,2021-10-01,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3369.96,DAM,1
2021-10-02T01:00:00-00:00,2021-10-02T02:00:00-00:00,1,2021-10-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3861.08,DAM,1
2021-10-02T06:00:00-00:00,2021-10-02T07:00:00-00:00,1,2021-10-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3064.98,DAM,1
2021-10-01T15:00:00-00:00,2021-10-01T16:00:00-00:00,1,2021-10-01,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2875.47,DAM,1
2021-10-01T23:00:00-00:00,2021-10-02T00:00:00-00:00,1,2021-10-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3860.84,DAM,1
2021-10-02T00:00:00-00:00,2021-10-02T01:00:00-00:00,1,2021-10-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3898.92,DAM,1
2021-10-02T04:00:00-00:00,2021-10-02T05:00:00-00:00,1,2021-10-01,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3480.55,DAM,1
2021-10-01T09:00:00-00:00,2021-10-01T10:00:00-00:00,1,2021-10-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2723.74,DAM,1
2021-10-02T02:00:00-00:00,2021-10-02T03:00:00-00:00,1,2021-10-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3744.41,DAM,1
2021-10-01T13:00:00-00:00,2021-10-01T14:00:00-00:00,1,2021-10-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2885.1,DAM,1
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,1,2021-10-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2673.11,DAM,1
2021-10-01T16:00:00-00:00,2021-10-01T17:00:00-00:00,1,2021-10-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2855,DAM,1
2021-10-01T18:00:00-00:00,2021-10-01T19:00:00-00:00,1,2021-10-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3021.71,DAM,1
