INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-07-02T03:00:00-00:00,2021-07-02T04:00:00-00:00,1,2021-07-01,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5961.15,DAM,1
2021-07-02T05:00:00-00:00,2021-07-02T06:00:00-00:00,1,2021-07-01,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5188.56,DAM,1
2021-07-02T00:00:00-00:00,2021-07-02T01:00:00-00:00,1,2021-07-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6573.19,DAM,1
2021-07-01T14:00:00-00:00,2021-07-01T15:00:00-00:00,1,2021-07-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4010.17,DAM,1
2021-07-01T16:00:00-00:00,2021-07-01T17:00:00-00:00,1,2021-07-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4467.52,DAM,1
2021-07-01T18:00:00-00:00,2021-07-01T19:00:00-00:00,1,2021-07-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5120.19,DAM,1
2021-07-02T02:00:00-00:00,2021-07-02T03:00:00-00:00,1,2021-07-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6114.98,DAM,1
2021-07-01T20:00:00-00:00,2021-07-01T21:00:00-00:00,1,2021-07-01,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5796.42,DAM,1
2021-07-01T21:00:00-00:00,2021-07-01T22:00:00-00:00,1,2021-07-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6091.61,DAM,1
2021-07-02T04:00:00-00:00,2021-07-02T05:00:00-00:00,1,2021-07-01,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5629.09,DAM,1
2021-07-01T07:00:00-00:00,2021-07-01T08:00:00-00:00,1,2021-07-01,1,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4347.43,DAM,1
2021-07-01T11:00:00-00:00,2021-07-01T12:00:00-00:00,1,2021-07-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3745.06,DAM,1
2021-07-01T23:00:00-00:00,2021-07-02T00:00:00-00:00,1,2021-07-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6486.57,DAM,1
2021-07-01T09:00:00-00:00,2021-07-01T10:00:00-00:00,1,2021-07-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3916.08,DAM,1
2021-07-01T10:00:00-00:00,2021-07-01T11:00:00-00:00,1,2021-07-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3781.99,DAM,1
2021-07-01T12:00:00-00:00,2021-07-01T13:00:00-00:00,1,2021-07-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3757.24,DAM,1
2021-07-02T01:00:00-00:00,2021-07-02T02:00:00-00:00,1,2021-07-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6411.03,DAM,1
2021-07-01T13:00:00-00:00,2021-07-01T14:00:00-00:00,1,2021-07-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3832.75,DAM,1
2021-07-01T15:00:00-00:00,2021-07-01T16:00:00-00:00,1,2021-07-01,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4214.45,DAM,1
2021-07-01T17:00:00-00:00,2021-07-01T18:00:00-00:00,1,2021-07-01,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4788.33,DAM,1
2021-07-01T08:00:00-00:00,2021-07-01T09:00:00-00:00,1,2021-07-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4108.2,DAM,1
2021-07-01T19:00:00-00:00,2021-07-01T20:00:00-00:00,1,2021-07-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5448.08,DAM,1
2021-07-01T22:00:00-00:00,2021-07-01T23:00:00-00:00,1,2021-07-01,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6272.73,DAM,1
2021-07-02T06:00:00-00:00,2021-07-02T07:00:00-00:00,1,2021-07-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4782.02,DAM,1
