 07/24/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3903,3791,3732,3691,3660,3712,3658,3543,3432,3372,3373,3335,3294,3274,3262,3196,3152,3257,3260,3255,3246,3228,3236,3204,3184,3164,3189,3161,3146,3125,3099,3055,3042,3031,3037,3029,2999,2932,2912,2892,2902,2904,2882,2879,2875,2834,2796,2773,2743,2738,2801,2858,2912,2924,2920,2925,2927,2933,2949,2948,2912,2902,2866,2890,2929,2933,2923,2903,2921,2934,2946,2923,2951,2999,3051,3096,3086,3038,3023,2963,2990,2955,2883,2850,2785,2727,2810,2732,2683,2586,2506,2431,2342,2274,2218,2218,2174,2143,2275,2233,2183,2112,2070,2058,2036,1971,1941,1892,1851,1859,1844,1841,1812,1811,1801,1764,1689,1647,1632,1655,1657,1606,1640,1602,1629,1628,1644,1643,1667,1651,1647,1679,1716,1765,1842,1901,1934,1942,1949,1955,1930,1935,1912,1949,1908,1813,1840,1885,1896,1811,1888,1895,1893,1914,1892,1873,1876,1910,1878,1879,1857,1780,1767,1765,1735,1751,1760,1785,1816,1814,1939,2005,2057,2060,2079,2052,1970,1964,1971,1923,1914,1892,1888,1952,1970,1991,2019,2037,2088,2147,2201,2233,2260,2177,2075,2038,2035,2076,2119,2125,2113,2140,2133,2089,2119,2300,2267,2439,2634,2736,2804,2802,2815,2755,2746,2793,2845,2779,2753,2873,2917,2985,3032,3054,3104,3109,3155,3191,3279,3315,3202,3220,3285,3416,3388,3417,3508,3543,3571,3595,3590,3627,3702,3700,3707,3737,3749,3787,3800,3800,3780,3772,3780,3780,3813,3823,3818,3823,3836,3798,3767,3764,3743,3719,3732,3739,3757,3790,3796,3784,3777,3739,3707,3701,3685,3700,3677,3610,3488,3485,3490,3514,3503,3520,3534,3481,3470,3447
Natural gas,5365,5395,5384,5357,5295,5211,5199,5227,5263,5238,5194,5174,5180,5176,5153,5178,5154,5148,5232,5196,5185,5200,5183,5180,5189,5173,5152,5129,5107,5086,5057,5058,5039,5010,4978,4957,4935,4973,4969,4963,4940,4939,4937,4930,4933,4950,4950,4940,4937,4921,4875,4825,4789,4796,4806,4818,4817,4801,4779,4768,4770,4781,4795,4791,4768,4759,4781,4823,4820,4819,4822,4822,4812,4744,4674,4648,4632,4658,4625,4682,4798,4782,4785,4782,4792,4787,4826,4904,4906,4870,4839,4822,4807,4776,4707,4623,4614,4608,4640,4637,4584,4456,4322,4353,4358,4301,4281,4264,4271,4378,4471,4408,4361,4384,4396,4403,4301,4227,4198,4247,4271,4308,4302,4345,4387,4439,4440,4504,4541,4537,4538,4577,4621,4617,4759,4808,4817,4799,4811,4837,4841,4844,4856,4785,4903,5003,4995,5045,5121,5039,4955,5035,5077,5128,5195,5205,5187,5243,5275,5272,5288,5154,5101,5165,5263,5311,5368,5433,5504,5532,5427,5369,5360,5366,5445,5486,5293,5250,5310,5368,5442,5500,5500,5507,5564,5611,5714,5734,5764,5819,5888,5923,5958,6020,5999,5995,6045,6158,6189,6273,6410,6462,6512,6595,6666,6598,6541,6432,6353,6319,6373,6375,6408,6408,6385,6437,6499,6594,6836,6890,6921,6991,7073,7141,7157,7241,7268,7324,7317,7293,7199,7114,7084,7025,7059,7058,6931,6917,6886,6818,6763,6809,6885,6861,6862,6822,6810,6808,6828,6848,6887,6870,6887,6891,6793,6789,6771,6731,6688,6712,6695,6691,6692,6684,6634,6587,6426,6429,6442,6383,6317,6333,6295,6175,6143,6109,6056,5986,5887,5850,5806,5798,5797,5753,5690,5637,5603,5571
Biogas,107,107,107,106,106,106,106,106,106,106,106,106,106,106,106,106,105,105,105,106,106,106,106,106,106,106,106,105,105,105,106,106,105,105,106,105,105,105,106,106,106,106,106,106,106,106,107,107,107,107,107,107,107,107,106,107,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,107,107,107,108,108,108,108,107,107,107,107,107,107,107,107,107,107,107,108,108,108,108,108,108,108,108,108,107,107,107,108,108,107,108,108,108,108,107,108,107,107,107,107,107,107,108,108,108,108,108,108,108,108,108,107,107,108,107,107,107,107,107,106,106,106,107,107,107,107,107,107,107,106,106,106,106,106,107,106,107,107,107,107,107,107,107,107,106,106,106,107,107,107,107,106,106,106,106,106,106,106,106,106,106,106,106,106,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,108,107,107,108,107,107,106,106,107,107,108,108,108,108,108,108,108,109,109,109,109,109,109,109,109,110,110,110,110,110,110,110,111,110,110,110,110,110,110,110,109,109,109,109,109,109,109,108,109,109,109,109,109,109,109,109,108,109,108,108,108,108,107,107,107,106,106,105,105,104,103,103,103,103,103,103,103,103,103,103,104,104,104,104,105,105,105,105,105,105,105
Biomass,119,119,118,118,118,118,117,117,116,116,116,116,116,115,116,116,116,116,116,116,116,117,116,117,116,117,117,117,118,118,118,118,118,118,117,118,118,118,118,118,118,118,119,119,119,118,118,119,118,119,118,118,118,118,117,118,118,118,118,118,119,118,118,118,118,119,118,118,119,119,120,120,120,122,122,122,122,122,122,121,121,122,122,123,123,123,123,123,123,123,122,122,122,121,122,123,123,122,123,123,123,123,123,123,124,124,124,124,123,124,123,123,123,122,121,122,121,122,122,121,121,122,122,123,123,123,122,122,121,121,121,121,122,123,122,123,122,123,123,123,123,123,122,122,121,119,119,119,118,117,118,118,118,118,118,118,118,119,119,119,119,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,119,119,119,120,119,119,121,121,122,122,122,123,122,121,120,120,120,120,121,120,120,121,121,121,121,120,119,119,120,119,120,121,121,120,120,120,120,120,120,120,120,120,121,123,124,125,123,123,123,123,124,124,124,122,122,123,125,125,126,125,125,124,121,121,121,123,125,125,124,124,123,123,123,124,125,126,126,127,126,127,126,126,126,126,125,125,126,125,125,125,124,123,123,122,122,122,122,123,122,122,122,120,116,113,113,113,113,113,113,113,114,113
Geothermal,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,9,9,8,9,8,8,8,8,8,8,8,8,9,9,9,9,8,9,8,9,8,8,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,8,9,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
Coal,13,13,13,13,13,12,12,13,12,12,12,13,12,13,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,13,13,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,12,13,13,12,12,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,13,12,13,12,12,12,13,12,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,12,12,12,13,13,12,12,12,11,12,13,13,11,11,11,11,11,12,12,12,13,14,13,14,13,12,12,12,12,11,11,12,11,11,12,12,12,12,12,12,12,12,12,11,11,12,12,13,13,13,12,12,13,12,13,13,13,13,13,12,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,13,14,13,13,14,14,14,14,13,12,11,12,12,13,13,13,13,13,13,12,12,12,12,12,13,13,13,12,12,13,12,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,12,11,12,12,13,13,13,12,12,12,12,13,13
