 03/07/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,2818,2746,2644,2544,2532,2507,2522,2546,2562,2545,2543,2547,2546,2558,2527,2543,2560,2593,2606,2570,2555,2599,2586,2552,2569,2569,2596,2672,2683,2705,2722,2720,2743,2709,2703,2714,2675,2727,2715,2726,2736,2704,2674,2650,2706,2732,2747,2720,2688,2688,2744,2758,2742,2778,2792,2825,2826,2829,2812,2837,2887,2933,2911,2925,2951,2913,2961,2942,2960,2954,2992,3019,3066,3094,2994,3007,2999,2979,2947,2912,2905,2852,2856,2823,2855,2843,2808,2754,2725,2716,2796,2818,2772,2801,2768,2844,2838,2846,2920,3026,2889,2960,2983,2879,2648,2632,2532,2422,2203,2168,1982,2118,2177,2323,2475,2411,2503,2489,2660,2559,2436,2398,2428,2305,2162,2208,2291,2210,2178,2242,2075,2091,2121,1933,1736,1772,1849,1676,1525,1614,1549,1552,1502,1411,1376,1284,1170,1263,1171,1173,1104,1169,1065,1068,1102,1198,1321,1308,1412,1642,1599,1617,1729,1698,1785,1886,1941,1972,2034,2021,2027,2014,2011,1917,1991,1957,1981,1905,1981,2091,2092,2027,2199,2239,2229,2378,2350,2624,2685,2547,2513,2501,2525,2796,2822,2944,3055,3067,3021,2992,2966,2885,2873,2869,2941,3140,3377,3504,3603,3621,3546,3518,3513,3484,3455,3474,3514,3494,3529,3504,3522,3509,3501,3547,3572,3616,3574,3594,3654,3536,3369,3296,3274,3288,3263,3308,3329,3284,3318,3274,3275,3275,3371,3351,3354,3417,3387,3395,3409,3406,3418,3425,3405,3354,3278,3207,3253,3291,3288,3300,3250,3342,3351,3390,3314,3282,3156,3126,3117,3202,3165,3129,3134,3138,3120,3039,2988,2946,2963,2899,2852,2812,2782,2791,2777,2798,2804,2800
Natural gas,3265,3329,3426,3430,3382,3379,3363,3331,3318,3308,3288,3281,3268,3237,3209,3164,3121,3084,3058,3063,3043,3004,3028,3017,3004,3012,3047,3184,3200,3157,3136,3138,3120,3132,3104,3118,3104,3086,3084,3080,3092,3110,3144,3162,3113,3131,3157,3192,3220,3225,3241,3271,3213,3194,3208,3241,3267,3291,3287,3270,3247,3257,3301,3312,3313,3414,3401,3433,3453,3502,3528,3535,3545,3552,3519,3488,3500,3499,3439,3410,3348,3279,3227,3092,3013,2959,2964,2950,2803,2694,2608,2545,2409,2394,2386,2428,2518,2542,2518,2508,2460,2417,2458,2429,2434,2360,2358,2282,2201,2161,2089,1985,2005,1915,1954,1955,1800,1748,1656,1761,1738,1611,1505,1549,1603,1527,1539,1517,1512,1552,1490,1489,1493,1526,1344,1234,1337,1370,1272,1236,1272,1341,1363,1374,1253,1270,1322,1440,1442,1336,1348,1365,1318,1267,1261,1261,1429,1520,1406,1503,1512,1550,1497,1487,1467,1528,1537,1510,1574,1556,1570,1666,1695,1528,1537,1562,1537,1675,1688,1731,1789,1921,1905,2061,2088,2127,2215,2383,2354,2420,2363,2607,2743,2806,2946,3042,3169,3427,3571,3786,4077,4181,4268,4332,4381,4296,4210,4235,4266,4363,4508,4634,4740,4780,4833,4952,4973,5008,5159,5336,5457,5518,5528,5712,5688,5557,5544,5564,5659,5816,5785,5757,5637,5601,5638,5575,5544,5529,5547,5469,5396,5397,5273,5317,5275,4975,4918,4925,4887,4884,4853,4766,4727,4740,4745,4751,4750,4731,4704,4560,4538,4439,4427,4311,4262,4278,4445,4403,4372,4201,4110,4111,4013,3911,3876,3858,3834,3772,3675,3671,3644,3593,3557,3459,3373,3340,3288,3277
Biogas,110,110,110,109,109,109,109,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,111,111,111,111,111,111,111,111,112,112,112,111,111,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,112,112,112,112,111,111,111,112,111,111,112,112,113,112,112,112,113,113,113,113,112,112,111,111,112,112,113,113,114,115,114,115,115,116,116,117,117,119,119,119,120,120,120,121,121,121,121,122,121,121,121,121,122,124,125,126,127,127,129,131,131,130,131,131,130,129,131,132,131,131,132,131,132,131,131,132,133,132,132,133,133,132,132,133,133,133,133,133,133,133,133,133,133,134,134,134,134,134,133,133,134,134,132,131,132,133,132,131,131,130,129,128,127,127,127,129,128,127,127,128,127,126,124,124,122,121,121,122,122,122,121,121,121,124,124,122,123,123,122,124,124,126,125,124,123,123,122,122,121,121,121,120,119,120,119,118,118,118,118,118,120,119,119,119,119,119,119,118,118,118,118,118,117,117,117,117,117,117,116,116,116,116,116,116,116,116,115,114,114,114,114,114,113,113,113,113,113,113,112,112,112,111,112,112,112,111,111,112,112,111,111,109,109,109,108,108,108,108,108,109,109,109,109,110,110,110,110,110,111
Biomass,132,131,131,129,129,130,129,129,131,131,131,131,131,131,130,130,130,130,130,130,131,131,131,132,132,132,132,132,131,132,132,133,132,133,132,133,132,132,132,132,132,131,131,131,131,130,130,131,131,131,132,132,131,131,131,132,133,133,133,133,133,133,133,133,132,132,133,132,133,133,134,134,135,135,136,136,136,135,136,135,135,134,134,135,135,137,137,139,140,138,139,140,140,140,141,142,143,142,143,143,144,145,144,145,144,145,146,146,146,146,146,146,146,147,149,149,149,151,154,153,154,152,151,150,149,153,153,152,152,152,152,154,153,154,153,156,155,155,155,157,156,154,155,156,156,156,157,157,155,155,155,154,152,154,157,158,158,158,158,160,159,158,158,157,159,157,156,157,155,154,155,155,156,157,162,161,158,159,159,158,158,156,157,152,149,147,146,148,149,147,147,147,151,151,150,150,150,149,151,152,153,154,152,151,150,148,147,145,144,144,143,142,141,140,141,141,143,140,137,136,137,137,137,138,138,137,137,139,139,139,138,137,137,136,135,135,136,134,134,135,134,134,134,133,133,133,132,131,130,130,131,131,131,132,131,131,130,130,130,130,128,127,127,127,126,127,128,128,127,127,125,124,125,124,123,123,124,123,123,124,124,124,124,124,124,124,125,125
Geothermal,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Coal,16,16,17,17,17,17,17,16,17,17,16,16,16,16,15,16,16,16,17,16,16,16,16,16,17,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,16,17,17,17,17,17,17,17,16,16,16,16,15,16,16,16,16,17,17,16,16,16,15,15,15,15,15,15,16,15,15,16,15,16,16,17,16,16,16,16,15,16,16,16,16,16,17,17,16,16,16,16,17,16,16,17,18,18,18,18,18,19,19,19,19,19,19,18,18,18,18,19,18,19,18,18,18,18,18,18,19,19,18,19,19,18,18,18,19,18,18,19,19,20,20,19,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,19,19,18,18,18,18,18,18,18,18,19,18,18,19,18,19,18,17,18,17,18,18,17,17,17,17,17,16,17,17,18,18,18,18,19,19,19,18,19,19,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,18,17,17,17,17,17,17,19,19,17,17,18,18,18,17,17,17,17,16,15,15,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,16,16,16,16,16,16,16,16
