 01/19/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,4064,3985,3992,3948,3940,3899,3837,3808,3808,3778,3724,3693,3670,3663,3653,3709,3697,3733,3721,3671,3689,3676,3664,3657,3646,3616,3592,3563,3577,3567,3563,3574,3591,3587,3538,3504,3502,3492,3547,3553,3540,3542,3542,3540,3583,3539,3527,3538,3545,3580,3605,3621,3638,3681,3742,3737,3671,3622,3605,3580,3647,3716,3793,3851,3920,3952,3975,3961,3953,3869,3825,3781,3775,3785,3757,3826,3952,4008,4017,4009,4016,4004,4014,4036,4040,4054,4084,4092,4092,4095,4098,4068,4044,4050,4037,3971,3904,3829,3934,3817,3742,3761,3740,3728,3649,3621,3435,3421,3267,3031,3094,2972,2865,2851,2875,2876,2833,2809,2797,2733,2685,2622,2579,2520,2379,2429,2350,2299,2331,2321,2298,2133,2101,1834,1745,1672,1739,1752,1767,1803,1928,1792,1797,1782,1818,1780,1766,1823,1808,1878,1888,1903,1981,2000,2035,2065,2118,2129,2146,2177,2167,2193,2208,2187,2237,2176,2199,2188,2206,2324,2452,2479,2571,2536,2614,2628,2620,2631,2611,2631,2669,2725,2729,2863,2875,2951,2989,3018,3090,3057,3085,3195,3352,3506,3496,3674,3869,3811,3807,3751,3765,3751,3773,3784,3881,4000,4095,4266,4411,4471,4477,4506,4523,4502,4477,4453,4432,4428,4380,4318,4299,4293,4266,4285,4295,4287,4273,4249,4244,4222,4295,4288,4299,4318,4293,4313,4333,4327,4310,4277,4254,4199,4199,4173,4168,4178,4182,4163,4137,4157,4101,4107,4111,4120,4110,4095,4123,4188,4207,4190,4174,4155,4123,4128,4096,4058,4051,4030,4018,4061,4073,4131,4137,4108,4082,4089,4082,4074,4186,4224,4209,4191,4172,4216,4218,4198,4129,4127
Natural gas,2314,2318,2327,2377,2350,2331,2356,2332,2288,2266,2267,2220,2175,2161,2168,2165,2118,2045,1995,1952,1909,1905,1894,1878,1883,1885,1890,1905,1883,1868,1844,1813,1777,1778,1806,1814,1800,1794,1768,1771,1764,1774,1769,1779,1782,1776,1775,1789,1760,1763,1780,1777,1778,1786,1762,1831,1905,1934,1941,1950,1963,1954,1991,2017,1981,1994,2022,2051,2120,2168,2197,2242,2280,2264,2304,2235,2230,2240,2241,2266,2300,2319,2349,2353,2353,2390,2450,2424,2413,2396,2380,2372,2373,2357,2367,2386,2443,2460,2524,2639,2615,2584,2547,2479,2415,2380,2244,2101,2121,2166,2155,2172,2140,2133,2050,2015,1983,1979,1954,1969,1963,1922,1787,1757,1707,1724,1796,1773,1737,1713,1736,1662,1642,1685,1651,1752,1799,1823,1790,1750,1774,1795,1808,1807,1810,1817,1804,1824,1811,1766,1828,1813,1797,1775,1794,1787,1818,1781,1787,1807,1804,1829,1848,1811,1826,1895,1932,1928,1968,1982,1918,1919,1896,1929,1941,1981,2029,2067,2080,2139,2151,2184,2225,2218,2272,2307,2381,2373,2435,2545,2597,2641,2672,2688,2743,2636,2603,2711,2790,2945,3127,3265,3323,3409,3428,3385,3241,3063,3060,3095,3144,3180,3224,3289,3326,3345,3323,3337,3379,3377,3369,3345,3347,3317,3273,3268,3267,3295,3298,3284,3213,3225,3248,3264,3265,3230,3222,3203,3203,3192,3184,3229,3237,3245,3250,3242,3249,3240,3229,3153,3146,3141,3124,3150,3172,3200,3202,3188,3179,3161,3165,3149,3138,3097,3068,3056,3039,3053,3041,3002,2938,2868,2823,2815,2786,2770,2738,2721,2662,2675,2643,2623,2625,2611,2482,2407,2351,2313
Biogas,116,115,115,115,115,115,115,116,116,116,116,116,116,116,117,117,117,118,118,117,117,117,118,117,117,117,117,117,116,116,116,117,117,119,119,119,120,119,119,120,120,120,120,120,120,121,121,121,121,121,121,122,122,121,121,122,122,121,121,120,120,120,121,121,121,121,121,120,120,119,118,117,117,116,116,117,118,118,118,118,117,117,116,116,116,116,116,116,116,116,116,115,116,116,116,116,115,115,115,115,115,115,115,115,114,115,115,116,116,117,118,118,118,118,119,119,121,121,121,121,121,121,122,122,122,123,124,124,124,124,124,124,124,124,124,125,125,125,125,125,125,125,125,125,124,124,124,124,125,124,124,124,124,124,124,123,123,123,123,123,123,123,123,123,123,123,123,122,122,122,122,122,121,121,121,121,121,121,120,120,118,115,114,114,113,113,113,113,112,111,111,111,110,111,111,111,112,113,114,114,115,116,115,114,114,114,114,114,115,115,115,106,106,106,106,106,104,104,105,104,104,103,103,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,106,105,104,104,104,104,104,103,103,103,103,103,104,105,105,105,105,105,105,105,104,104,104,105,105,105,105,106,106,106,106,106,106,106,106,106,107,107,107,107,108,108,108,108,108,108
Biomass,148,148,148,150,151,153,154,156,157,157,158,159,159,159,159,160,161,161,161,161,161,161,162,160,161,161,161,161,161,162,162,163,164,166,167,166,167,166,168,168,168,168,166,165,167,167,167,167,167,166,166,168,167,168,169,169,169,168,167,166,166,166,166,167,167,168,167,167,166,165,163,162,162,162,162,163,164,164,163,163,163,161,160,157,154,153,152,152,153,152,152,153,155,157,157,156,157,157,158,157,157,158,157,158,157,156,156,157,159,160,161,161,161,161,161,162,163,164,163,165,165,165,166,166,166,168,167,167,167,168,168,168,165,165,165,166,167,167,167,167,168,167,167,167,167,167,167,167,168,167,167,166,166,166,166,167,167,166,166,167,166,167,167,167,167,166,163,166,166,166,166,165,165,165,165,165,164,164,163,162,160,160,160,159,158,159,158,158,158,156,156,156,155,155,157,157,157,159,159,158,159,159,158,156,157,156,154,154,156,156,156,155,156,156,157,156,155,156,156,155,155,155,154,153,152,151,152,152,153,152,153,152,152,153,152,152,152,152,152,153,152,152,152,151,149,147,147,147,147,146,145,145,147,147,147,147,148,148,148,150,151,152,152,152,152,152,152,153,153,154,153,153,152,153,152,152,152,153,153,155,155,155,155,155,156,156,155,155
Geothermal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
Coal,6,7,7,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6
