 07/16/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,4073,3992,3890,3827,3752,3715,3701,3691,3788,3827,3850,3871,3848,3810,3680,3619,3608,3645,3654,3672,3705,3712,3692,3664,3658,3583,3517,3434,3471,3606,3660,3681,3655,3673,3648,3640,3695,3684,3666,3666,3680,3763,3772,3752,3745,3719,3680,3696,3685,3712,3725,3738,3742,3728,3734,3758,3754,3747,3775,3757,3755,3771,3797,3791,3803,3781,3817,3788,3799,3807,3841,3839,3824,3800,3785,3710,3692,3690,3676,3609,3673,3583,3518,3484,3362,3289,3305,3224,3193,3130,3071,3085,3022,2896,2776,2704,2590,2511,2530,2472,2352,2250,2184,2119,2055,2037,2019,1933,1868,1845,1929,1903,1850,1787,1744,1747,1740,1712,1701,1658,1642,1662,1689,1699,1648,1636,1633,1607,1613,1589,1599,1548,1496,1522,1550,1637,1651,1657,1686,1689,1663,1693,1705,1677,1632,1562,1621,1707,1771,1811,1818,1842,1796,1742,1733,1725,1693,1694,1737,1748,1756,1735,1715,1720,1750,1787,1855,1879,1915,1969,1986,2037,2056,2069,2046,2033,2011,2052,2071,2096,2111,2116,2089,2131,2111,2063,2052,2071,2132,2105,2116,2100,2049,2094,2046,2074,2081,2029,1997,2047,2076,2083,2137,2218,2290,2299,2340,2448,2501,2474,2497,2527,2526,2485,2445,2388,2419,2454,2465,2661,2811,2881,2885,2941,3027,3015,3112,3200,3238,3290,3361,3429,3481,3535,3550,3567,3549,3596,3610,3631,3640,3656,3728,3814,3850,3853,3868,3913,3904,3931,3943,3964,4035,4027,3906,3981,4010,4057,4133,4114,4140,4202,4267,4281,4348,4328,4203,4149,4148,4220,4284,4311,4349,4357,4388,4442,4436,4377,4416,4471,4455,4521,4516,4486,4510,4495,4461,4463
Natural gas,4603,4643,4722,4713,4699,4658,4623,4576,4444,4373,4348,4319,4306,4327,4375,4363,4315,4231,4187,4149,4116,4140,4139,4113,4100,4092,4101,4116,4083,3967,3909,3866,3851,3849,3894,3927,3935,3930,3890,3845,3835,3997,4006,4007,4016,4025,4060,4052,4072,4052,4039,4033,4016,3998,3986,4002,4026,4037,4006,4037,4049,4094,4223,4208,4227,4283,4277,4320,4355,4363,4374,4395,4413,4463,4519,4542,4544,4506,4473,4465,4327,4216,4171,4153,4167,4191,4422,4365,4285,4250,4162,4026,3928,3913,3864,3896,3916,3946,4072,4125,4095,4087,4053,4098,4145,4220,4267,4263,4242,4255,4241,4281,4295,4243,4204,4211,4198,4190,4181,4185,4166,4141,4216,4273,4245,4206,4157,4189,4223,4208,4222,4254,4263,4252,4286,4302,4308,4340,4328,4379,4383,4346,4382,4415,4407,4404,4392,4388,4404,4423,4345,4409,4436,4464,4494,4517,4517,4590,4640,4665,4738,4774,4821,4848,4862,4877,4883,4910,4925,4908,4925,4857,4849,4856,4925,4985,5049,5076,5116,5168,5199,5256,5125,5061,5125,5264,5346,5380,5382,5363,5410,5475,5420,5453,5442,5472,5533,5678,5770,5802,5866,5922,5962,6063,6081,6109,6022,5984,5918,5985,6052,6124,6240,6377,6509,6654,6820,6818,6911,6774,6750,6801,6928,7032,7122,7203,7213,7307,7408,7431,7410,7209,7179,7138,7157,7172,7225,7205,7221,7191,7239,7288,7216,7039,7032,7034,7019,6939,6954,6938,6941,6907,6838,6858,6951,6843,6829,6872,6748,6673,6679,6627,6590,6494,6228,6259,6461,6534,6476,6381,6292,6232,6107,5963,5819,5669,5619,5636,5435,5282,5259,5177,5121,5096,5043,5022,5009,4960
Biogas,124,124,124,125,124,123,123,123,123,123,123,124,124,125,125,124,124,124,124,124,124,125,125,125,125,125,125,124,124,124,124,124,124,124,124,125,126,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,127,127,127,127,127,127,128,127,126,126,126,126,125,125,125,125,124,125,125,125,124,124,124,123,123,122,122,123,123,123,123,122,122,122,122,123,123,124,124,125,125,125,125,125,125,125,125,125,125,126,129,129,128,125,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,125,125,125,125,125,126,127,127,128,128,128,128,128,128,128,127,127,127,127,127,127,126,126,126,126,126,126,126,127,126,126,126,126,126,125,124,125,125,126,126,125,125,125,125,125,125,125,125,125,125,125,126,126,127,126,126,126,124,124,124,125,125,125,125,126,125,125,125,125,125,125,126,126,126,127,127,126,126,127,127,127,127,127,126,127,126,127,129,129,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,127,127,128,127,127,127,127,126,126,126,126,125,126,126,126,126,126,126,126,126,126,127,126,127,127,127,127,127,127,127,127,126,125,125,125,125,124,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Biomass,114,114,114,114,113,113,113,113,112,113,113,113,113,113,114,113,112,113,112,113,113,113,113,114,113,115,114,113,113,112,112,112,113,113,114,115,116,116,115,114,114,114,115,115,116,116,117,117,117,117,117,117,116,116,116,115,115,115,115,115,115,116,118,117,118,117,116,117,117,116,116,116,117,118,119,120,120,121,121,122,121,121,120,121,121,122,122,121,122,121,122,122,123,124,124,125,125,125,125,126,125,125,125,125,125,127,129,130,130,129,129,129,129,129,129,129,128,128,127,126,126,127,127,127,126,125,124,126,125,126,127,127,127,127,127,127,127,126,127,126,126,127,127,128,129,129,128,128,127,128,127,128,128,128,128,127,126,125,126,126,126,127,127,127,126,126,127,126,127,126,127,127,127,128,128,128,128,127,127,128,128,128,128,129,129,129,129,129,129,127,128,127,127,128,128,128,129,128,128,128,128,129,128,129,130,130,130,130,129,130,130,131,130,131,130,130,130,130,130,132,132,132,131,131,131,131,131,131,131,130,131,130,130,130,128,128,129,129,129,130,129,129,129,127,123,122,122,122,121,122,121,122,122,122,122,123,122,123,124,123,124,123,124,123,120,117,117,116,115,114,114,114,114,114,114,114,113,113,111,111,111,111,112,112,112,112,111,111
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Coal,10,10,10,10,10,9,9,9,9,10,9,10,10,10,10,10,9,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,11,11,10,10,9,10,10,9,10,10,10,11,10,9,10,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,11,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,13,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,13,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,13,13,13,13,12,13,13,13,12,13,13,13,13,13,14,13,13,14,13,14,13,13,14,13,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,15,14,14,15,14,14,15,15,15,14,15,14,14,13,14,14,14,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,13,13,14,13,13,14,14,14,14,14,14,14,14,14,13,13,14,15,14,14
