 01/23/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3833,3806,3882,3906,3931,3993,3989,3997,3973,3952,3949,3935,3953,3930,3894,3914,3894,3868,3851,3828,3805,3836,3882,3914,3921,3893,3872,3809,3771,3778,3778,3789,3813,3791,3774,3758,3770,3796,3743,3730,3726,3745,3756,3744,3753,3786,3842,3838,3839,3823,3824,3847,3845,3842,3829,3832,3861,3829,3850,3855,3891,3936,4030,4065,4076,4074,4077,4076,4062,4092,4099,4131,4158,4182,4197,4217,4230,4214,4273,4301,4298,4309,4313,4286,4266,4285,4304,4299,4290,4267,4218,4197,4131,4077,4109,4049,3960,3973,3950,3889,3866,3755,3739,3681,3661,3644,3631,3641,3532,3506,3543,3455,3398,3403,3343,3262,3239,3213,3099,3207,3181,3143,3136,3073,2984,3001,3022,3018,2988,2970,2926,2930,2938,2896,2889,2816,2758,2781,2742,2749,2682,2640,2604,2618,2629,2650,2624,2691,2692,2709,2748,2791,2799,2826,2861,2832,2850,2843,2841,2814,2928,2904,2887,2878,2899,2894,2922,2939,2999,2939,3010,3060,3053,3087,3078,3118,3208,3274,3375,3377,3420,3491,3616,3716,3761,3819,3902,3912,3964,3993,4034,4094,4183,4275,4251,4301,4328,4295,4403,4414,4444,4430,4419,4407,4521,4522,4610,4605,4673,4582,4659,4630,4653,4747,4741,4683,4709,4816,4842,4835,4831,4866,4849,4807,4674,4661,4679,4657,4631,4594,4546,4534,4529,4580,4570,4604,4675,4637,4631,4613,4594,4602,4640,4592,4600,4597,4598,4567,4604,4562,4561,4548,4525,4585,4593,4638,4656,4624,4611,4590,4631,4636,4633,4634,4604,4496,4495,4425,4397,4372,4324,4264,4193,4158,4108,4077,4042,4100,4115,4069,4019,3994,3992,3981,3986,3993,4001,3977
Natural gas,3113,3099,3042,2983,2925,2819,2750,2755,2838,2820,2792,2783,2740,2743,2743,2736,2735,2736,2731,2711,2685,2655,2611,2586,2600,2625,2677,2737,2762,2736,2744,2732,2707,2693,2704,2708,2655,2604,2633,2638,2662,2666,2668,2672,2644,2591,2523,2509,2525,2582,2576,2567,2563,2578,2577,2567,2563,2586,2570,2587,2570,2557,2531,2532,2558,2576,2587,2591,2621,2624,2627,2628,2624,2658,2687,2678,2682,2713,2730,2762,2814,2813,2813,2779,2777,2766,2781,2751,2758,2756,2799,2824,2777,2739,2746,2755,2791,2808,2787,2847,2821,2832,2784,2748,2715,2718,2710,2703,2659,2660,2677,2658,2631,2662,2657,2582,2548,2491,2458,2426,2384,2343,2376,2409,2356,2351,2286,2274,2249,2290,2279,2248,2192,2201,2199,2194,2212,2196,2165,2154,2158,2129,2142,2134,2108,2108,2134,2109,2111,2120,2117,2088,2086,2104,2125,2143,2059,2124,2162,2158,2100,2120,2090,2110,2094,2102,2112,2204,2159,2252,2280,2251,2218,2303,2337,2380,2332,2308,2346,2350,2358,2340,2405,2443,2466,2464,2530,2569,2593,2650,2681,2749,2766,2757,2824,2809,2876,3087,3174,3272,3337,3350,3442,3590,3579,3579,3487,3526,3583,3805,3841,3862,3947,3950,3956,4019,3961,3962,4061,4093,4097,4060,4069,4102,4105,4035,3986,3984,4016,4012,4004,4001,3982,3905,3910,3893,3745,3722,3708,3682,3678,3647,3614,3634,3632,3616,3600,3585,3516,3490,3481,3497,3503,3495,3570,3557,3506,3462,3430,3426,3392,3364,3333,3312,3317,3306,3224,3204,3182,3210,3217,3193,3193,3162,3148,3105,3087,2986,2906,2909,2900,2876,2835,2799,2750,2741,2716,2704
Biogas,114,114,113,113,113,114,114,114,114,114,113,114,114,114,114,114,114,114,114,114,114,114,115,115,115,116,115,115,114,114,114,112,108,108,108,108,108,108,108,108,108,108,110,111,111,111,111,111,111,111,111,111,111,111,111,112,113,113,113,113,113,113,113,113,113,113,113,113,113,113,112,112,111,111,111,111,111,111,112,113,113,113,112,112,112,112,112,112,112,113,114,114,114,112,112,112,112,113,112,112,112,112,113,112,112,113,113,113,113,114,114,114,114,114,115,114,115,115,116,118,119,120,120,120,120,120,121,121,122,122,122,123,123,123,123,123,123,123,123,123,124,124,124,124,124,124,124,125,125,125,125,125,125,125,125,125,125,125,124,124,124,125,125,125,125,125,125,125,124,124,123,123,123,123,122,122,121,121,121,121,121,121,121,121,121,120,120,119,119,119,118,117,118,117,117,117,116,116,118,117,118,118,117,118,119,117,117,116,117,118,120,118,118,119,118,119,119,118,118,119,118,118,118,118,118,117,117,116,116,116,116,117,116,114,114,114,114,113,113,113,113,114,115,115,116,117,117,116,116,115,115,115,115,115,116,116,116,116,115,115,115,115,115,115,115,115,114,113,114,114,114,113,113,113,113,113,113,114,115,115,115,115,115,115,115,115,115,115
Biomass,147,147,146,146,146,147,148,148,148,148,148,147,147,148,149,149,148,148,148,148,145,144,144,145,145,145,145,145,144,143,143,144,144,143,144,144,144,144,144,143,143,143,144,144,145,144,145,145,144,145,145,144,144,144,144,143,143,145,145,144,144,143,146,147,148,149,149,149,149,149,150,149,149,148,149,150,150,150,152,152,152,152,151,151,151,151,151,151,152,152,151,152,152,150,149,149,149,151,151,151,152,151,151,151,151,151,151,151,150,152,152,151,150,151,151,151,152,151,152,153,152,153,155,154,154,154,155,155,156,157,157,158,159,159,159,159,159,159,156,156,158,158,153,148,147,147,148,149,149,150,151,152,152,156,157,158,159,159,158,156,157,160,160,160,161,161,161,160,160,159,160,158,159,158,159,157,155,156,156,156,156,156,156,156,155,155,155,155,156,157,156,157,157,157,157,156,155,155,158,156,157,157,158,158,158,157,156,155,156,158,159,157,157,159,158,157,157,157,157,158,158,157,157,157,157,157,156,155,154,155,155,156,156,156,155,155,154,153,153,153,152,153,154,153,153,153,154,152,151,151,151,150,150,151,151,151,151,151,150,150,150,150,150,150,150,150,148,148,147,148,148,147,148,148,149,148,149,149,149,149,149,149,149,149,149,149,150,150
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Coal,5,5,5,5,6,6,6,6,6,6,6,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,6,7,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,7,6,6,6,6,6,6,7,6,6,6,6,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
