 02/05/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3651,3579,3581,3541,3511,3495,3475,3476,3463,3444,3444,3413,3437,3415,3453,3472,3501,3540,3536,3538,3512,3538,3534,3522,3486,3438,3385,3384,3386,3389,3349,3346,3358,3357,3359,3363,3348,3352,3363,3369,3380,3387,3359,3373,3379,3376,3336,3349,3372,3418,3492,3476,3497,3489,3500,3483,3496,3482,3448,3454,3490,3526,3643,3734,3767,3763,3752,3734,3729,3745,3777,3795,3826,3857,3857,3889,3945,3948,4000,3988,3998,3985,4004,4029,4019,3996,4024,4048,3976,3886,3804,3744,3633,3540,3486,3483,3337,3211,3144,3040,2902,2812,2811,2804,2761,2630,2388,2225,2159,2098,2240,2317,2293,2362,2370,2338,2335,2269,2212,2121,2106,2029,2044,2022,1999,1985,1966,1969,1965,1960,1953,1916,1891,1861,1951,1955,1982,2028,2081,2081,2080,2132,2112,2130,2178,2108,2114,2079,2091,2154,2216,2155,2043,2037,2021,2008,1995,1943,1891,1820,1786,1807,1787,1803,1807,1847,1824,1839,1845,1821,1791,1816,1847,1757,1751,1776,1758,1803,1841,1767,1797,1857,1884,1915,1919,1905,1921,1894,1953,1944,1937,1969,2060,2122,2262,2443,2575,2768,2979,3208,3445,3507,3542,3579,3750,3818,3802,3865,3933,3937,3933,3936,3939,3990,4035,4059,4096,4119,4121,4094,4108,4070,4067,4057,4070,4078,4072,4045,4018,3963,3923,3899,3884,3883,3875,3862,3871,3875,3864,3874,3848,3846,3890,3895,3913,3886,3868,3855,3852,3847,3853,3847,3859,3856,3883,3892,3891,3901,3906,3893,3873,3857,3895,3947,3946,3969,4007,3969,3957,3963,4005,4001,4002,3994,3951,3980,3986,4066,4180,4183,4159,4140,4128,4125,4109,4128,4152,4188
Natural gas,3648,3679,3662,3659,3647,3634,3618,3604,3607,3591,3572,3584,3536,3547,3541,3510,3467,3420,3390,3388,3385,3350,3325,3333,3367,3405,3454,3482,3508,3503,3528,3533,3503,3508,3511,3515,3536,3536,3550,3568,3571,3565,3584,3581,3577,3581,3580,3569,3570,3557,3502,3565,3551,3569,3561,3594,3638,3662,3704,3716,3698,3738,3795,3840,3850,3887,3935,4001,4073,4115,4134,4164,4184,4215,4270,4295,4308,4392,4433,4432,4456,4464,4437,4438,4427,4420,4443,4442,4438,4333,4221,4157,4051,3915,3765,3591,3522,3471,3413,3346,3306,3220,3096,3053,3025,2925,2924,2905,2860,2762,2509,2358,2313,2171,2067,2085,2022,2022,2008,1997,1980,1963,1899,1844,1838,1829,1799,1749,1711,1804,1842,1817,1796,1787,1694,1643,1590,1559,1468,1444,1434,1512,1519,1624,1963,1640,1642,1636,1613,1592,1574,1576,1604,1587,1612,1597,1583,1618,1554,1558,1547,1557,1569,1551,1553,1573,1589,1575,1594,1597,1613,1623,1646,1575,1551,1578,1579,1681,1799,1779,1843,1953,1950,1979,2052,2151,2232,2284,2329,2332,2394,2468,2545,2652,2724,2791,2893,2949,3051,3153,3228,3333,3514,3721,3778,3821,3871,3962,4017,4095,4192,4255,4343,4400,4451,4487,4491,4490,4391,4365,4343,4344,4333,4321,4303,4269,4247,4257,4258,4215,4272,4266,4265,4248,4266,4257,4254,4197,4185,4108,4105,4123,4136,4137,4131,4168,4169,4181,4166,4178,4179,4194,4188,4221,4222,4198,4185,4207,4190,4174,4176,4164,4109,4053,4021,4013,4013,4039,4025,3977,3914,3882,3866,3839,3820,3764,3712,3685,3676,3734,3751,3762,3729,3703,3672,3625,3579,3524
Biogas,106,107,106,106,106,106,106,106,106,106,107,107,107,107,107,107,107,107,107,107,108,107,107,107,108,108,108,107,107,107,107,107,107,107,107,107,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,107,107,107,107,107,107,108,108,108,108,108,108,108,108,109,109,109,108,109,109,110,111,110,110,110,110,109,109,109,109,109,109,108,107,107,107,107,107,108,108,110,110,110,110,111,111,112,113,112,111,109,109,109,108,109,109,109,109,110,110,110,110,110,110,110,110,109,109,109,109,109,109,109,109,109,109,109,109,109,110,109,110,110,110,110,110,111,114,113,113,113,113,113,113,112,112,113,113,113,114,113,111,110,111,111,111,111,111,111,112,112,112,112,112,112,112,112,112,112,112,113,115,115,116,117,117,117,117,117,120,120,120,118,117,117,116,116,116,116,116,116,116,116,116,115,115,114,115,114,114,114,114,112,112,112,112,112,112,113,113,112,112,111,111,110,110,109,109,109,109,109,109,109,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,110,111,112,113,113,113,113,113,113,112,113,112,112,112,112,112,112,112,112,111,111,111,112,112,113,114,114,114,114,114,114,114,114
Biomass,139,139,139,139,138,138,139,139,140,139,140,140,140,140,138,138,137,139,139,139,139,139,139,139,140,141,139,139,139,137,137,137,138,138,137,138,139,140,141,140,141,142,142,142,142,142,142,140,140,138,139,139,138,138,138,138,138,138,137,137,137,138,140,139,140,140,139,139,139,141,141,140,138,138,139,140,141,142,143,141,141,142,141,141,141,140,140,141,141,140,138,138,138,138,138,140,140,140,141,139,135,134,134,133,131,132,129,127,127,127,128,129,131,133,132,128,125,125,126,128,129,129,129,127,126,128,129,129,129,131,130,131,130,128,130,131,132,133,133,130,128,124,122,123,126,123,124,126,127,129,128,127,128,128,128,130,130,134,136,138,139,142,142,142,141,143,143,144,144,143,142,143,143,143,144,145,145,146,149,151,150,151,150,150,150,151,155,155,155,151,151,151,151,151,152,152,152,152,152,152,153,152,152,150,150,148,146,146,145,144,142,141,143,143,143,143,142,142,141,140,137,135,135,135,135,135,135,134,134,135,134,135,134,134,134,134,133,134,134,134,134,134,134,135,135,135,134,134,134,134,134,132,132,135,136,136,136,137,137,136,137,136,136,135,134,135,136,136,136,136,136,136,136,136,135,135,134,135,136,137,137,138,137,137,137,137,137,138
Geothermal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Coal,13,13,13,13,13,13,14,13,12,13,13,13,13,13,13,13,12,13,12,13,12,13,13,13,14,13,13,13,13,13,13,13,12,12,12,13,13,13,12,13,13,13,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,13,14,14,13,13,13,13,13,12,12,12,13,13,13,13,12,13,13,13,12,12,12,12,12,12,12,12,12,12,13,14,14,13,13,13,12,13,13,12,12,12,12,12,12,12,13,12,12,12,13,12,13,12,12,12,13,13,13,13,13,13,13,14,14,14,13,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14,13,13,13,13,13,14,14,13,14,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,13,13,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,13,12,13,12,12,12,12,11,12,12,13,12,13,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
