 03/14/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3148,3083,3079,3054,3024,3065,3063,3013,2976,2993,2996,2998,2945,2871,2900,2926,2944,2941,2968,3005,3077,3091,3078,3074,,,,,,,,,,,,,3063,3007,3036,3002,2974,2977,2947,2965,2962,2954,2976,2929,2857,2882,2957,2996,3026,3038,3042,3010,2952,2933,3019,3044,3096,3136,3164,3110,3094,3131,3125,3161,3210,3184,3122,3037,2976,2934,3033,3073,3064,3060,3053,2993,3012,3044,3060,3084,3100,3091,3054,2978,2913,2894,2880,2850,2833,2877,2808,2712,2652,2557,2676,2680,2597,2446,2281,2101,1968,1752,1629,1530,1480,1480,1455,1295,1161,1157,1161,1160,1138,1052,1074,1062,952,897,936,937,908,963,1063,1065,1019,962,951,913,883,864,849,815,755,827,823,784,784,729,646,513,584,614,682,613,588,570,577,585,562,515,514,497,494,541,454,454,505,466,474,487,522,540,498,600,664,745,832,845,912,951,916,890,974,1001,922,1003,1077,1146,1239,1290,1311,1274,1214,1179,1206,1159,1169,1246,1252,1268,1278,1393,1384,1405,1442,1525,1630,1603,1575,1511,1647,1652,1610,1734,1870,1907,2068,2311,2489,2564,2733,2942,3095,3122,3051,3084,3108,3124,3177,3250,3301,3346,3354,3367,3530,3604,3647,3756,3803,3846,3861,3835,3863,3865,3905,3903,3838,3896,3924,3912,3873,3844,3808,3772,3846,3782,3738,3686,3653,3658,3739,3622,3628,3630,3600,3590,3589,3570,3570,3567,3572,3546,3506,3417,3439,3436,3440,3405,3417,3417,3427,3416,3404,3406,3361,3320,3292,3340,3371,3370,3351,3352,3345,3327
Natural gas,3038,3111,3185,3203,3234,3151,3144,3159,3146,3084,3070,3066,3111,3102,3051,3015,3001,2990,2935,2890,2849,2851,2878,2884,,,,,,,,,,,,,2894,2947,2971,3004,3011,2989,3003,2991,2990,3007,2982,2962,2969,2949,2891,2870,2821,2805,2788,2812,2862,2861,2788,2747,2753,2772,2806,2858,2864,2843,2884,2876,2901,2942,3006,3056,3079,3095,3005,2959,2976,2989,3021,3063,3063,3080,3085,3038,3046,3089,3155,3150,3170,3143,3076,3015,2944,2861,2790,2741,2642,2524,2307,2039,1791,1687,1617,1639,1731,1765,1772,1711,1638,1673,1705,1663,1588,1583,1561,1638,1661,1623,1559,1578,1636,1634,1595,1474,1416,1322,1302,1338,1309,1355,1408,1327,1222,1204,1249,1206,1210,1234,1220,1221,1262,1278,1249,1250,1314,1305,1291,1245,1255,1251,1250,1210,1199,1258,1321,1312,1316,1364,1273,1259,1252,1264,1286,1315,1341,1327,1285,1281,1197,1258,1245,1228,1241,1300,1277,1243,1381,1546,1568,1587,1620,1713,1798,1900,2023,2011,2027,1988,1956,1981,2020,2132,2276,2327,2247,2187,2209,2207,2236,2213,2273,2296,2370,2752,2364,2542,2206,2024,2134,2131,2183,2215,2279,2348,2460,2627,2767,2870,3104,3283,3468,3490,3479,3492,3515,3598,3639,3878,3983,4001,4073,4053,4106,4178,4220,4221,4194,4216,4183,4116,4141,4108,4083,4049,4059,4024,4002,3992,3869,3824,3826,3823,3815,3760,3731,3747,3708,3731,3677,3650,3614,3556,3515,3468,3432,3447,3539,3590,3530,3542,3530,3522,3500,3485,3448,3430,3405,3382,3391,3369,3306,3165,3089,3085,3061,3025,2969,2940
Biogas,114,115,115,115,115,115,114,115,115,115,115,115,115,115,115,115,115,115,115,115,116,116,116,116,,,,,,,,,,,,,116,116,116,116,116,116,116,116,116,116,116,115,114,115,115,116,117,117,117,116,116,116,116,116,116,117,117,117,117,117,117,117,117,117,116,115,115,114,114,114,115,115,114,114,114,114,114,114,114,114,114,114,113,113,113,114,114,115,116,117,118,118,118,118,116,116,117,116,116,117,117,117,117,117,117,117,117,117,118,119,119,119,119,118,119,120,120,119,118,119,118,118,118,118,118,119,119,119,119,119,119,119,121,121,120,121,121,121,122,123,122,122,122,122,122,122,122,122,122,122,121,121,121,121,121,121,122,124,123,122,122,121,120,120,120,119,120,119,119,119,119,120,110,111,111,111,111,112,112,111,111,111,110,110,110,110,110,108,108,108,108,107,107,108,111,111,111,111,111,112,112,113,114,114,114,116,116,116,116,116,116,116,116,117,117,116,116,115,115,115,115,115,118,118,118,118,118,119,119,118,118,118,118,118,117,118,117,117,116,115,114,114,114,112,112,112,112,112,112,112,112,112,112,112,112,112,112,113,114,114,113,113,112,112,112,112,112,112,112,112,112,112,112,112,111,111,112,112,112,112,112,113
Biomass,125,125,125,124,124,124,123,123,123,123,123,123,123,123,122,122,122,123,123,124,124,124,124,124,,,,,,,,,,,,,124,124,124,124,124,123,123,123,123,123,123,122,121,122,122,123,124,124,125,124,124,124,123,123,122,124,125,125,125,126,127,127,126,125,115,115,114,113,114,115,115,115,114,114,116,115,116,115,116,117,115,116,116,115,114,115,115,116,116,117,118,118,119,118,116,116,117,116,117,118,118,118,118,118,116,117,117,118,119,121,120,120,120,119,119,120,120,119,118,118,118,118,119,119,119,119,119,119,119,120,120,120,120,121,121,121,121,121,121,122,122,121,121,121,121,121,121,122,123,123,122,122,121,120,120,121,122,124,123,123,123,123,121,121,120,120,121,121,121,120,121,122,121,121,121,121,122,124,126,124,124,125,125,125,125,124,125,124,124,123,123,123,123,124,124,124,124,124,123,123,122,123,124,123,124,124,124,124,124,124,124,122,123,124,124,124,123,123,123,123,124,124,126,127,126,126,127,127,127,126,127,127,127,127,127,128,128,127,127,126,124,124,124,122,122,122,122,123,123,121,121,122,121,120,120,120,120,121,121,121,121,120,120,119,119,119,119,119,119,120,120,119,119,119,118,118,118,120,120,120,121,121
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,,,,,,,,,,,,,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,10,10,10,9,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,9,10,9,9,9,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Coal,10,10,11,10,10,10,11,11,10,12,11,12,11,11,11,10,10,11,11,10,10,11,10,10,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,12,12,13,12,12,11,10,11,11,12,11,11,11,11,11,11,12,12,11,11,11,11,11,10,10,10,10,10,10,11,11,12,12,11,11,11,11,13,13,13,13,12,11,12,12,11,11,11,10,10,10,11,11,10,10,11,10,10,11,11,11,11,11,10,12,12,12,12,11,11,11,12,11,11,11,11,11,12,12,12,12,12,12,11,11,11,11,11,11,12,12,11,11,11,11,11,11,11,11,11,11,12,11,12,12,12,11,11,11,10,10,11,12,11,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,11,11,12,11,11,11,12,11,11,12,12,12,11,12,11,11,12,12,11,12,11,11,11,11,11,11,11,11,11,11,10,11,11,10,11,11,10,10,11,10,10,10,10,11,11,10,11,11,11,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,10,11,10,10,11,11,12,11,12,12,12
