 03/25/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3271,3275,3306,3288,3287,3271,3249,3266,3270,3295,3333,3343,3353,3385,3517,3559,3554,3534,3529,3545,3538,3536,3534,3565,3545,3489,3481,3493,3504,3545,3556,3570,3540,3510,3488,3472,3427,3384,3360,3383,3376,3361,3371,3356,3373,3365,3384,3407,3443,3454,3395,3451,3463,3485,3501,3480,3542,3578,3580,3511,3523,3611,3675,3756,3772,3764,3774,3766,3781,3794,3825,3794,3788,3779,3762,3842,3926,3911,3944,3915,3972,4010,4084,4110,4098,4031,4070,4138,4135,4125,4133,4137,4138,3991,3897,3922,3784,3515,3458,3216,3062,3013,2963,2848,2744,2583,2517,2301,2187,2147,2243,2074,1966,1824,1636,1568,1358,1271,1159,1065,1037,1116,1498,1516,1454,1315,1269,1202,1117,1152,1182,1175,1324,1360,1533,1565,1575,1650,1587,1566,1549,1484,1479,1517,1505,1421,1388,1448,1500,1464,1472,1440,1259,1213,1186,1157,1169,1206,1295,1296,1297,1310,1305,1268,1375,1296,1296,1328,1326,1394,1389,1317,1305,1196,1197,1104,1105,1077,1144,1146,1125,1126,1167,1123,1196,1087,1189,1154,1132,1212,1344,1404,1406,1438,1441,1472,1559,1558,1599,1646,1725,1767,1789,1862,1987,2037,2097,2184,2248,2329,2385,2512,2577,2649,2749,2906,3090,3322,3423,3665,3816,3854,3887,3799,3741,3843,3877,3904,3939,3975,4149,4153,4216,4257,4283,4269,4312,4320,4322,4312,4328,4267,4132,4168,4173,4161,4210,4152,4165,4273,4226,4138,4151,4058,4002,3998,3961,3981,3984,4001,3950,3944,3944,3973,3953,3867,3713,3675,3657,3664,3616,3599,3685,3648,3650,3698,3702,3664,3609,3596,3529,3554,3516,3420,3426,3399,3401,3414
Natural gas,3163,3158,3158,3135,3091,3008,2973,2945,2914,2854,2792,2775,2806,2772,2629,2795,2807,2786,2787,2758,2726,2737,2737,2735,2766,2840,2849,2868,2867,2862,2894,2899,2905,2943,2964,2960,2988,3027,3067,3047,3082,3081,3080,3094,3073,3078,3093,3117,3128,3139,3006,2923,2945,2973,2965,3013,2994,3011,3048,2923,2915,2902,2869,2783,2813,2839,2872,2899,2973,3018,3070,3132,3137,3157,3293,3252,3266,3352,3369,3432,3497,3552,3562,3576,3613,3697,3890,3847,3750,3709,3650,3603,3509,3430,3353,3176,3067,3125,3226,3253,3178,3205,3126,3064,3040,2939,2924,2980,2994,2884,2717,2644,2574,2581,2619,2602,2524,2353,2318,2457,2428,2298,2165,2062,2050,2088,2088,2072,2081,2174,2217,2187,2177,2189,2110,2072,2010,1994,1966,1943,1911,1962,1942,1965,1966,1882,1966,1989,1986,1980,2005,2033,1872,1837,1867,1830,1824,1840,1757,1790,1825,1849,1837,1841,1933,1983,1984,1920,1900,1917,1948,2001,1975,2054,2145,2114,2038,2084,2036,2084,2067,2077,2126,2161,2123,1961,1913,1951,1965,2002,2017,2029,2101,2185,2207,2195,2235,2243,2230,2268,2257,2209,2313,2402,2332,2369,2424,2512,2520,2536,2493,2523,2569,2584,2620,2689,2783,2775,2740,2740,2899,3075,3199,3364,3586,3672,3669,3818,3837,3833,3841,3961,3906,4039,3951,3991,3974,4011,4039,4140,4150,4182,4237,4173,4158,4130,4131,4145,4043,4067,4025,4041,3970,4054,4118,4072,4012,3995,3975,3906,3913,3879,3835,3655,3611,3662,3667,3642,3651,3644,3616,3602,3519,3513,3485,3444,3380,3314,3301,3230,3253,3258,3262,3228,3173,3135,3085,3066
Biogas,116,116,115,115,116,115,114,114,114,115,115,116,117,118,118,118,118,118,118,118,118,118,118,119,119,119,119,119,119,118,118,118,118,118,118,118,118,117,117,116,116,116,116,116,116,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,116,116,116,116,117,117,118,118,118,118,118,116,118,119,118,118,119,119,119,118,118,118,119,119,117,115,114,113,112,114,114,115,116,116,116,116,115,116,117,117,117,118,118,117,117,118,118,118,119,120,120,120,120,120,120,120,120,120,120,120,121,120,120,121,121,121,121,121,121,122,122,121,121,121,121,121,121,121,121,121,121,121,121,120,120,121,121,121,121,121,121,121,121,121,122,122,122,122,122,123,123,123,123,123,123,123,123,124,124,124,123,123,123,123,122,122,122,121,121,121,121,121,121,121,121,121,121,122,121,121,121,121,122,122,121,121,120,121,121,120,120,120,120,119,119,119,119,119,118,116,117,117,116,116,117,116,117,118,118,118,118,118,118,118,118,118,119,119,119,119,119,119,119,119,119,119,118,118,118,117,118,118,118,117,117,117,117,117,116,116,115,115,115,115,115,115,115,114,114,113,113,113,113,113,113,114,114,114,115,114,114,114,114,114
Biomass,134,133,133,132,134,133,131,131,131,131,132,132,132,134,135,135,135,134,134,134,136,136,137,136,135,135,135,136,136,135,134,134,134,134,136,136,136,136,136,136,136,136,135,136,137,136,135,131,133,135,134,135,135,135,135,135,135,136,136,136,136,136,135,135,135,135,134,134,135,134,134,135,134,135,134,136,135,135,136,136,138,139,137,137,137,138,140,140,139,139,140,141,141,140,139,140,140,140,139,136,136,136,135,135,135,136,136,137,138,137,137,138,139,140,140,140,142,140,137,137,137,137,138,140,140,140,139,140,140,140,140,141,142,142,141,139,138,140,140,140,141,140,140,140,140,139,139,139,141,140,139,140,140,141,142,142,142,142,142,141,141,140,142,142,142,142,142,142,142,142,142,142,143,146,145,145,145,146,146,146,146,146,145,146,147,145,144,145,145,146,145,145,144,145,145,146,146,146,146,146,146,146,146,145,143,142,142,141,140,141,140,140,140,140,140,139,140,138,138,139,139,139,140,138,140,141,139,138,138,139,140,141,141,141,142,141,141,141,141,143,145,144,144,143,144,144,144,143,144,144,144,145,143,142,144,145,144,145,142,142,143,145,146,144,143,143,141,142,141,140,140,139,139,138,139,140,140,139,139,138,139,139,140,138,137,138,138,139
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
Coal,14,14,14,13,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,13,13,14,14,13,12,11,12,12,12,12,12,11,11,12,12,12,12,12,12,13,13,13,13,12,12,13,13,12,13,13,13,12,12,13,13,13,12,12,13,12,13,13,12,12,13,13,13,13,13,14,14,13,13,13,13,14,14,14,14,14,13,14,14,14,15,14,13,13,13,13,13,13,13,13,13,13,14,13,14,12,13,13,13,13,12,11,11,11,12,12,12,12,13,13,13,13,13,12,13,13,13,14,15,14,14,15,14,14,15,15,14,15,15,15,14,14,14,13,14,14,15,14,13,13,13,12,13,13,13,13,13,12,13,12,12,12,12,13,12,12,12,13,12,12,12,12,11,11,12,11,12,11,11,11,10,11,11,11,11,10,11,11,11,10,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,12,13,13,12,12,13,13,13,13,13,12,12,12,12,12,12,13,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12
