 05/22/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3202,3120,3072,3019,2984,3003,3033,3015,3003,2955,2873,2901,2855,2814,2781,2755,2729,2741,2728,2712,2686,2712,2739,2748,2734,2708,2702,2711,2724,2709,2710,2665,2659,2635,2638,2644,2632,2615,2610,2608,2596,2587,2592,2580,2614,2623,2609,2640,2637,2602,2596,2567,2545,2572,2539,2562,2551,2535,2537,2525,2547,2526,2533,2573,2598,2653,2666,2714,2754,2747,2736,2683,2695,2724,2742,2695,2659,2587,2488,2364,2278,2233,2197,2244,2176,2003,1833,1783,1726,1753,1799,1799,1616,1546,1472,1435,1235,1034,995,945,922,761,694,732,777,810,759,901,899,855,804,754,708,619,590,656,788,819,773,700,676,665,667,676,595,605,578,536,494,407,377,301,282,274,216,219,179,222,230,218,287,316,334,267,303,239,121,18,-22,-71,-123,-77,-19,16,18,-25,17,13,-70,-152,29,45,28,41,-6,83,94,121,140,78,-40,-34,-2,-87,-40,-44,19,85,73,16,5,-19,-21,-82,-138,-256,-211,-163,-131,-101,-129,-257,-212,-205,-200,-53,44,132,143,135,152,225,210,192,254,347,9,-64,-20,-32,-31,-29,134,205,305,298,316,469,655,737,897,1148,1381,1594,1770,1925,2087,2260,2398,2551,2555,2696,2826,2919,2994,3014,3092,3217,3305,3309,3408,3377,3320,3370,3431,3477,3497,3525,3589,3616,3624,3606,3672,3600,3571,3575,3571,3500,3504,3527,3564,3564,3567,3578,3547,3460,3364,3297,3274,3250,3269,3285,3349,3286,3262,3241,3162,3097,3030,2936,2911,2914,2896,2866,2860,2787,2786,2726
Natural gas,3041,3032,3110,3075,3081,3111,3171,3159,3125,3115,3163,3170,3164,3140,3134,3162,3101,3059,3004,2934,2897,2874,2860,2854,2852,2860,2841,2833,2834,2843,2840,2847,2823,2796,2768,2771,2783,2795,2809,2803,2805,2800,2807,2810,2786,2770,2786,2779,2793,2801,2821,2817,2828,2818,2816,2795,2794,2810,2812,2815,2783,2847,2867,2827,2805,2758,2764,2711,2669,2668,2671,2701,2677,2646,2651,2635,2602,2581,2546,2494,2452,2378,2262,2154,2266,2320,2231,2119,2041,1920,1968,1986,1947,1918,1825,1772,1759,1763,1705,1734,1694,1567,1486,1510,1521,1516,1506,1609,1717,1692,1644,1703,1719,1712,1657,1688,1704,1735,1745,1765,1738,1698,1608,1687,1682,1686,1665,1691,1715,1682,1657,1631,1630,1670,1717,1698,1634,1649,1663,1647,1676,1675,1643,1600,1646,1643,1679,1654,1645,1648,1590,1639,1650,1631,1630,1610,1677,1661,1631,1544,1572,1582,1599,1578,1591,1585,1587,1597,1617,1623,1643,1649,1623,1614,1616,1643,1713,1728,1728,1755,1698,1793,1850,1861,1940,1784,1708,1754,1698,1724,1754,1763,1793,1934,1932,1937,1991,2102,2167,2132,2186,2143,2205,2257,2272,2339,2334,2365,2435,2550,2612,2634,2625,2603,2609,2697,2713,2792,2762,2770,2697,2672,2695,2723,2642,2666,2713,2727,2773,2866,2906,2871,2939,2935,3016,3100,3136,3155,3156,3309,3404,3412,3509,3466,3446,3391,3377,3392,3381,3381,3370,3495,3504,3502,3542,3554,3516,3498,3409,3365,3357,3379,3336,3335,3342,3339,3370,3335,3313,3305,3265,3206,3083,3080,3042,3037,3036,3066,3136,3156,3115,3054,3081,3012,2954,2923,2898,2886
Biogas,115,116,116,116,117,118,118,117,118,117,117,118,118,118,119,119,119,119,119,117,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,118,119,119,119,119,118,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,118,119,118,118,119,121,122,124,124,125,126,127,127,128,130,131,131,131,130,128,125,124,124,124,124,124,124,124,124,124,124,124,124,123,123,122,122,122,122,122,121,122,123,123,123,123,122,122,122,123,123,122,121,121,121,121,120,121,121,121,121,121,120,121,121,121,121,122,122,123,123,123,123,122,122,122,122,122,122,121,122,123,121,120,119,120,120,120,121,121,121,122,122,122,122,122,121,121,120,121,121,121,121,121,121,121,121,122,122,122,121,122,121,121,121,122,123,124,124,126,126,127,128,127,127,126,126,127,127,126,126,125,126,126,127,127,127,126,126,126,126,125,125,125,125,125,126,126,126,125,125,123,123,122,123,124,124,123,123,123,122,121,121,121,123,121,121,121,120,120,119,119,119,119,119,120,122,120,121,121,121,121,121,120,120,119,120,120,120,120,121,120,120,121,121,120,120,119,119,119,119,119,119,118,118,118,117,117,117,116,117,116
Biomass,143,143,143,143,143,143,143,142,142,142,141,143,143,143,144,144,144,143,143,141,142,141,142,142,142,142,142,142,142,142,140,142,141,142,142,142,142,144,144,144,144,144,144,144,144,145,145,144,144,145,143,143,143,144,144,145,145,145,145,144,144,145,145,145,145,146,146,146,146,145,146,145,146,146,147,146,146,147,146,146,147,149,150,153,153,156,158,158,158,160,162,163,163,163,162,159,156,154,155,155,155,154,153,154,155,155,155,154,154,153,152,150,150,150,151,150,149,149,149,149,149,147,145,144,143,144,143,144,144,143,143,142,143,143,144,145,144,144,144,145,145,146,146,148,149,149,150,151,150,150,149,149,149,150,149,148,148,149,147,145,145,145,147,147,147,147,147,147,149,149,149,149,147,146,147,147,147,147,147,147,146,147,148,150,150,150,150,150,151,150,151,151,152,155,155,155,156,158,159,158,157,157,157,158,158,158,157,157,157,158,158,160,159,158,158,158,156,156,156,157,156,157,157,159,158,158,158,154,154,153,154,154,154,155,154,154,152,152,151,152,154,151,151,152,151,150,150,150,149,149,149,150,152,152,152,152,152,152,152,151,150,151,150,151,150,150,150,150,150,150,150,150,149,148,148,148,148,147,147,147,147,146,146,145,144,144,145,144
Geothermal,8,9,8,8,8,9,9,9,9,8,8,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8
Coal,23,23,23,23,23,23,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,23,24,24,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,23,23,23,24,24,24,24,24,25,25,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,23,24,24,24,24,24,23,23,23,23,23,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,23,23,23,23,24,23,23,23,23,23,24,24,24,24,24,23,23,24,24,23,23,23,23,23,23,23,23,23
