 08/17/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3219,3182,3244,3353,3413,3550,3656,3700,3779,3799,3778,3797,3809,3834,3970,4075,4095,4013,3986,3940,3930,3919,3897,3889,3807,3795,3864,3870,3909,3973,3978,3964,3951,3943,3943,3914,3893,3876,3893,3898,3927,4010,4014,4041,4051,4001,3995,3997,3970,3951,3965,3968,3977,3958,4047,4140,4165,4152,4158,4177,4218,4211,4178,4271,4298,4298,4282,4300,4434,4442,4437,4420,4274,4215,4287,4308,4294,4279,4288,4286,4313,4260,4203,4144,4143,4066,4113,4077,4066,4104,4020,4008,3924,3916,3913,3934,3891,3826,3914,3860,3842,3784,3751,3728,3717,3697,3627,3569,3486,3469,3442,3448,3424,3394,3345,3311,3278,3252,3238,3244,3255,3241,3192,3184,3237,3213,3246,3237,3184,3157,3107,3090,3077,3060,3030,2998,2903,2936,2916,2940,2993,2917,2890,2855,2767,2742,2805,2782,2822,2859,2867,2916,2915,2931,2950,2895,2826,2788,2773,2763,2796,2717,2701,2671,2634,2658,2661,2631,2635,2617,2656,2663,2687,2691,2694,2709,2730,2746,2745,2740,2840,2786,2864,2872,2899,2866,2899,2869,2889,2864,2888,2919,2921,2949,3029,3020,3081,3090,3126,3158,3181,3215,3298,3314,3366,3377,3360,3345,3361,3326,3357,3379,3458,3523,3581,3615,3656,3693,3594,3677,3767,3872,3911,3926,4006,4050,4032,3993,4057,4076,4121,4129,4117,4099,4081,4090,4049,4032,4066,4158,4172,4176,4279,4250,4276,4293,4297,4292,4212,4177,4185,4301,4266,4212,4260,4220,4217,4183,4196,4142,4117,4083,4073,4047,4031,3946,3844,3781,3762,3803,3767,3810,3862,3844,3829,3832,3794,3763,3790,3703,3715,3760,3778,3810,3844,3818,3853,3872
Natural gas,5718,5698,5650,5482,5347,5240,5173,5083,4998,4951,4915,4864,4807,4713,4520,4335,4276,4289,4257,4255,4202,4189,4177,4156,4173,4172,4260,4248,4169,4082,4066,4067,4040,4017,3979,3996,3977,3983,3842,3786,3712,3638,3545,3512,3575,3596,3571,3552,3548,3587,3585,3634,3641,3625,3547,3522,3547,3563,3590,3580,3571,3598,3616,3564,3579,3627,3683,3661,3642,3692,3688,3702,3719,3843,4000,4044,4037,4029,4039,4052,4063,4072,4107,4131,4119,4198,4283,4313,4324,4159,4021,3974,3867,3817,3784,3794,3800,3798,3879,4003,3990,3914,3848,3798,3804,3801,3805,3798,3779,3751,3834,3854,3765,3736,3740,3736,3765,3763,3690,3648,3626,3644,3702,3708,3615,3601,3563,3545,3558,3477,3389,3431,3412,3468,3642,3658,3519,3525,3533,3523,3630,3734,3753,3805,3844,3849,3818,3899,3910,3952,3971,3991,4014,4007,3980,4013,4090,4062,3920,3875,3918,3923,3811,3815,3901,3946,3973,4017,4053,4121,4068,4076,4104,4169,4274,4309,4355,4400,4443,4512,4534,4516,4565,4671,4726,4822,4893,4898,4953,5002,5050,5086,5130,5150,5040,5018,5005,5047,5079,5088,5095,5153,5172,5203,5231,5196,5189,5232,5309,5416,5471,5535,5609,5687,5779,5888,5948,5983,6090,6128,6145,6215,6280,6311,6599,6765,6734,6784,6849,6864,6889,6841,6855,6859,6890,6894,6910,6910,6927,6947,6931,6902,6894,6956,6962,6941,6929,6895,6848,6839,6796,6725,6754,6766,6607,6516,6482,6459,6388,6354,6215,6104,6054,6034,6030,6044,5988,5999,5963,5890,5901,5830,5755,5690,5658,5587,5572,5599,5550,5507,5393,5325,5264,5199,5161,5143,5069,4991
Biogas,99,99,99,100,99,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,98,99,99,99,99,99,99,99,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,101,101,100,100,100,100,100,100,100,100,100,99,99,99,99,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,99,109,100,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,100,101,102,101,101,102,101,101,100,100,100,100,101,102,103,102,103,102,103,103,103,102,102,102,103,103,103,102,102,102,102,102,101,100,101,101,102,102,102,101,102,102,102,102,102,102,102,102,102,102,101,101,101,102,102,102,102,102,102,103,103,103,103,103,103,103,103,102,103,103,103,103,103,102,101,101,101,101,101,101,101,101,100,101,101,101,101,101,102,103,103,102,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,102,102,102,102,102,102,101,101,100,100,100,100,100,100,99,99,99,99,99,99,98,99,98,99,99,98,98,98,98,98,98,99,98,98,98,98,98,99,99,99,99
Biomass,134,135,135,135,134,134,134,133,133,134,135,134,134,134,134,133,133,132,132,133,132,133,134,133,134,134,134,134,135,134,133,133,133,133,133,134,134,133,133,134,135,134,134,134,134,135,135,134,134,134,135,135,135,134,133,134,134,134,134,134,133,134,134,134,133,129,124,120,119,122,127,130,130,134,137,138,137,137,137,137,137,137,138,138,137,138,138,138,138,138,137,135,137,136,136,138,138,138,139,138,135,137,138,138,138,138,139,138,136,135,136,137,137,138,139,140,140,140,139,141,141,141,140,139,141,141,142,143,143,143,143,144,143,142,140,139,141,140,142,142,142,143,142,142,141,141,142,142,142,142,143,143,142,142,143,143,142,141,136,140,143,142,142,142,141,140,137,139,139,139,140,141,142,142,143,141,141,142,142,141,141,142,142,143,143,142,142,141,141,141,141,141,141,141,141,141,141,142,142,142,141,142,142,142,141,141,141,138,139,139,138,137,138,138,138,137,138,138,138,137,136,137,138,138,138,140,140,139,140,139,140,139,138,140,140,140,140,139,139,139,139,139,140,139,139,139,140,139,140,139,140,139,138,138,138,137,137,138,138,137,137,135,135,134,134,133,133,132,132,131,130,132,132,131,131,132,131,132,132,131,130,130,130,131,132,133,133,126
Geothermal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Coal,12,12,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,14,13,14,13,13,13,13,13,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,13,13,14,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,13,13,12,13,13,13,13,12,13,12,12,12,12,12,12,12,12,13,12,13,12,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,13,13,12,13,13,13,13,12,12,13,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,12,13,14,14,12,12,13,13,13,14,14,14,13,14,14,14,14,14,13,14,13,14,14,14,14,12,13,14,14,14,13,14,14,14,14,14,13,14,13,14,13,14,15,14,14,15,14,14,14,14,14,14,14,15,15,16,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,15,15,14,15,15,15,15,15,15,15,16,15,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16
