 01/31/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3821,3769,3691,3683,3656,3665,3646,3655,3670,3660,3627,3617,3564,3554,3654,3720,3733,3722,3704,3692,3662,3644,3655,3669,3705,3724,3772,3813,3872,3915,3909,3905,3907,3914,3927,3910,3891,3893,3883,3879,3873,3884,3853,3841,3825,3819,3817,3815,3803,3804,3798,3820,3853,3853,3867,3905,3913,3933,3929,3931,3929,3953,3890,3891,3903,3839,3720,3691,3721,3779,3797,3778,3775,3792,3798,3812,3851,3895,3872,3869,3897,3865,3872,3962,4010,4079,4033,3990,3914,3840,3784,3800,3880,3762,3632,3578,3423,3158,2926,2884,2847,2727,2665,2532,2471,2387,2337,2194,2124,1979,2035,1991,1963,1946,1970,1935,1899,1781,1622,1578,1496,1505,1390,1347,1317,1349,1348,1365,1360,1151,1125,1148,1137,1119,1081,1025,989,988,1034,1107,1139,1068,1110,1108,1035,1142,1037,929,1058,976,941,945,982,1010,969,989,1011,1054,1078,1251,1318,1475,1585,1700,1754,1862,1888,1976,2071,2146,2228,2454,2586,2623,2677,2751,2678,2740,2858,2875,3042,3194,3317,3366,3359,3374,3360,3463,3630,3712,3761,3812,3962,4030,3987,4021,4036,3974,3964,3966,3942,3919,4011,4063,4069,4072,4121,4211,4263,4262,4342,4418,4391,4403,4414,4376,4379,4385,4284,4254,4221,4213,4226,4235,4241,4234,4256,4272,4191,4202,4242,4222,4220,4272,4260,4262,4260,4236,4238,4261,4215,4211,4285,4254,4284,4272,4296,4274,4263,4240,4231,4214,4174,4151,4152,4139,4121,4120,4129,4127,4113,4091,4085,4067,4046,4021,4028,4006,3947,3981,3936,3903,3948,3885,3860,3844,3814,3759,3697,3695,3652,3662,3634,3597,3568,3558,3548,3555
Natural gas,3638,3643,3507,3466,3487,3477,3465,3429,3385,3385,3384,3360,3371,3350,3238,3165,3141,3117,3102,3101,3101,3091,3060,3020,2964,2936,2890,2859,2803,2748,2737,2716,2708,2706,2686,2692,2691,2678,2681,2679,2689,2671,2685,2687,2696,2705,2702,2701,2713,2692,2677,2668,2634,2635,2626,2595,2606,2602,2608,2613,2630,2610,2677,2679,2673,2780,2891,2935,2957,2962,2951,2951,2954,3001,3061,3044,3023,3008,3057,3080,3068,3113,3107,3020,2941,2848,2864,2886,2856,2762,2694,2603,2477,2413,2273,2181,2160,2218,2193,2224,2361,2337,2301,2345,2304,2149,1969,1985,2015,1977,1971,2023,1992,1995,1967,1978,2057,2041,2034,2042,2025,2050,1973,1875,1835,1954,2018,2030,2016,1976,1983,2003,1986,1933,1954,1966,1938,1966,1995,2006,2030,1997,1987,1981,1973,2020,2066,1973,1884,2026,2007,1954,1989,2046,2034,2040,2040,2068,2122,2129,2120,2074,2116,2122,2048,2086,2141,2189,2209,2216,2108,2170,2232,2223,2232,2340,2300,2287,2354,2303,2231,2212,2244,2324,2419,2517,2630,2676,2721,2738,2787,2899,2839,2967,3155,3245,3346,3407,3491,3554,3631,3755,3792,3868,3954,4010,3936,3842,3848,3837,3873,3885,4012,4090,4149,4236,4278,4307,4341,4374,4391,4372,4347,4322,4308,4310,4302,4225,4200,4202,4198,4209,4193,4166,4172,4150,4156,4170,4138,4084,4077,4050,3984,3997,3946,3964,3954,3941,3942,3940,3949,3924,3893,3877,3893,3901,3859,3802,3771,3766,3724,3689,3656,3639,3593,3571,3553,3548,3565,3531,3543,3517,3602,3658,3642,3610,3587,3603,3609,3568,3578,3523,3500,3479,3454,3442,3420,3364
Biogas,112,112,111,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,113,113,113,113,113,113,113,113,113,114,114,114,114,114,114,114,114,114,114,114,114,114,113,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,115,115,116,116,116,116,116,116,117,117,117,117,117,117,117,117,117,117,116,116,116,116,116,115,116,117,117,118,119,120,121,121,122,124,124,124,125,126,125,123,121,120,119,119,119,119,119,119,119,119,119,119,119,119,119,118,119,120,119,119,119,119,118,118,118,118,119,119,119,119,119,119,119,118,118,119,119,119,119,119,119,119,119,119,119,119,119,119,118,118,118,118,118,118,118,118,118,117,117,118,117,117,117,116,117,117,117,117,117,118,119,119,119,120,120,120,120,119,119,119,118,118,117,117,117,117,117,117,117,117,116,115,115,115,115,116,116,116,116,115,115,115,115,114,115,115,115,115,115,115,113,112,112,112,111,111,111,111,111,110,110,109,110,110,110,110,110,110,110,110,110,110,109,109,109,110,110,110,110,110,110,110,110,111,111,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,111,111,110,110,110,110,110,110,110,111,111,111,111,111,111,111,110,109
Biomass,150,150,150,149,149,149,149,149,149,150,149,149,149,149,149,149,150,149,148,147,149,149,149,150,150,151,151,151,151,152,152,152,152,152,152,152,151,151,150,151,151,152,151,151,153,152,152,152,152,152,152,153,153,152,152,153,153,153,152,153,153,153,153,153,152,153,153,154,154,155,155,155,155,155,157,158,159,159,160,160,160,159,159,160,159,159,158,159,159,159,158,159,162,160,162,163,164,165,165,167,169,169,170,172,172,170,168,164,162,162,162,161,160,160,160,159,159,158,159,160,160,159,159,159,158,160,160,160,159,158,158,160,160,159,160,160,159,160,159,157,157,157,156,155,154,154,154,154,152,153,152,152,152,152,151,150,150,151,150,150,150,151,151,151,152,153,154,155,155,156,155,156,156,156,157,157,159,160,160,160,161,161,161,159,159,159,158,158,158,157,156,156,157,157,156,155,155,154,154,154,155,155,156,157,156,156,155,155,155,154,154,153,153,154,154,154,154,154,154,153,153,153,153,152,152,152,152,152,150,150,150,150,150,151,150,150,148,148,147,147,147,148,147,147,147,149,149,149,149,149,150,150,150,150,150,150,150,149,150,151,150,150,149,150,150,151,150,150,151,150,151,151,152,151,151,151,150,151,151,151,151,151,151,150,150,150,150,151
Geothermal,8,8,8,8,8,8,8,8,8,9,9,9,9,9,8,8,9,8,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Coal,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,1,1,1,1,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,-1,-3,-3,-2,-1,0,1,3,4,6,7,7,8,8,8,8,8,8,9,8,8,8,7,7,7,7,7,7,8,9,8,7,7,8,9,9,9,10,11,11,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10
