 01/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,4088,4048,3989,3964,3911,3908,3980,3962,3927,3924,3927,3942,3948,3931,3912,3911,3930,3944,3938,3915,3881,3890,3871,3849,3842,3812,3790,3788,3794,3771,3753,3767,3756,3768,3752,3762,3800,3778,3803,3788,3804,3842,3860,3854,3883,3877,3901,3878,3884,3916,3902,3972,3998,4008,4015,4035,4046,4043,4061,4059,4114,4176,4171,4204,4147,4171,4257,4280,4266,4265,4328,4382,4371,4452,4387,4448,4477,4520,4618,4608,4666,4780,4737,4741,4718,4777,4849,4851,4937,4973,4909,4860,4755,4717,4636,4568,4507,4509,4517,4426,4319,4357,4312,4268,4251,4173,4125,4030,3826,3684,3559,3457,3393,3393,3393,3412,3364,3410,3352,3369,3314,3284,3378,3297,3316,3239,3228,3239,3132,3147,3132,3152,3156,3104,3004,2946,2928,2921,2883,2868,2823,2797,2738,2701,2629,2545,2456,2310,2340,2316,2311,2291,2279,2200,2209,2280,2262,2276,2277,2229,2128,2065,2020,2043,2090,2059,2087,2073,2042,2024,2099,2118,2098,1992,1980,1977,1975,1944,2044,2085,2039,2131,2189,2267,2343,2417,2485,2578,2612,2759,2934,3115,3329,3458,3509,3779,3999,4075,4115,4167,4219,4276,4354,4457,4487,4575,4538,4605,4591,4469,4493,4551,4639,4705,4714,4604,4612,4615,4622,4603,4572,4548,4554,4524,4604,4647,4641,4668,4640,4578,4510,4395,4385,4391,4376,4387,4380,4390,4366,4448,4399,4394,4393,4374,4348,4343,4360,4378,4417,4407,4403,4384,4366,4340,4368,4314,4347,4380,4397,4375,4362,4350,4313,4271,4228,4199,4203,4160,4102,4090,4052,4041,4062,4067,4060,4084,4085,4039,4060,4088,4101,4124,4134,4183,4180,4129,4124,4093
Natural gas,2324,2337,2349,2374,2378,2306,2261,2259,2241,2233,2226,2207,2203,2198,2215,2224,2234,2226,2199,2204,2210,2203,2199,2216,2193,2177,2187,2187,2193,2199,2200,2192,2190,2212,2223,2239,2230,2258,2265,2277,2264,2254,2255,2248,2240,2246,2261,2254,2246,2239,2274,2248,2244,2259,2264,2286,2317,2346,2374,2385,2388,2442,2495,2526,2644,2721,2809,2811,2851,2880,2902,2906,2946,2940,2989,2951,2983,3029,3013,3087,3255,3191,3228,3271,3273,3257,3252,3239,3233,3305,3402,3405,3449,3445,3424,3261,3177,3184,3251,3268,3165,2974,2902,2938,2926,2899,2907,2834,2814,2821,2796,2782,2748,2684,2608,2599,2587,2585,2563,2575,2564,2568,2535,2545,2533,2601,2597,2591,2549,2487,2469,2421,2434,2482,2521,2505,2504,2453,2445,2430,2401,2402,2326,2282,2245,2330,2376,2381,2352,2392,2415,2393,2451,2488,2494,2485,2513,2451,2338,2361,2365,2407,2397,2349,2361,2372,2380,2425,2496,2558,2477,2543,2601,2609,2617,2666,2696,2697,2779,2770,2741,2808,2819,2865,2909,2872,2894,2933,2847,2806,2848,2899,2933,2982,2891,2800,2828,2989,3124,3304,3489,3605,3642,3676,3736,3781,3860,3925,4042,4178,4205,4214,4348,4409,4460,4555,4551,4557,4540,4581,4642,4659,4618,4624,4576,4448,4428,4411,4404,4419,4383,4422,4414,4376,4352,4344,4344,4325,4314,4178,4103,4087,4070,4110,4101,4082,4056,4014,3942,3922,3899,3886,3874,3898,3901,3914,3897,3894,3873,3866,3860,3831,3840,3842,3827,3824,3837,3886,3887,3869,3855,3819,3750,3720,3696,3645,3604,3606,3538,3445,3370,3274,3185,3198,3191,3184,3148,3146
Biogas,108,108,108,108,108,108,108,109,109,109,109,109,108,108,109,109,109,109,109,109,109,109,109,109,109,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,109,111,111,110,110,110,109,108,108,108,108,108,108,108,108,109,110,108,109,108,108,108,108,108,108,109,109,108,108,108,107,107,107,108,108,109,109,110,110,110,111,112,111,111,111,111,110,110,109,110,111,111,113,115,116,115,114,112,110,110,110,110,111,110,109,107,108,109,108,108,107,107,107,107,108,108,108,109,109,109,109,109,110,108,109,110,110,110,110,110,110,111,111,111,112,112,113,113,113,113,113,113,114,114,114,113,114,115,116,117,117,117,117,118,118,117,117,117,117,117,117,116,117,117,118,118,118,117,117,117,117,118,118,117,117,118,118,118,117,117,117,117,118,118,118,118,118,118,119,119,119,118,118,118,118,118,118,117,117,117,117,116,117,116,116,116,115,115,115,114,114,114,114,114,114,113,112,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,112,113,112,112,112,112,112,112,112,112,112,112,112,112,112,113,113,113,114,114,114,114,113,114,114,115,115,115,115
Biomass,154,154,154,154,154,153,153,153,155,154,154,154,154,154,154,154,154,153,153,152,153,152,153,153,152,152,153,153,153,153,153,152,152,153,153,152,152,152,153,153,154,154,154,154,154,154,154,154,155,154,154,154,155,155,154,153,154,154,154,153,153,153,153,153,153,155,158,157,156,155,155,156,156,154,154,154,154,156,155,155,157,158,157,157,158,159,159,158,159,159,159,159,160,160,159,160,159,160,160,160,160,158,157,158,157,157,156,156,154,154,155,154,154,155,155,157,156,157,157,158,157,154,152,149,149,148,148,148,148,149,150,151,150,151,150,149,147,148,149,148,149,148,148,148,149,149,150,151,151,151,151,152,153,153,152,151,151,151,151,152,152,153,153,154,154,154,153,154,154,156,150,142,146,146,153,159,159,159,159,160,159,160,159,158,158,159,158,159,159,165,165,165,165,162,160,159,160,163,161,156,160,166,165,164,157,157,154,151,152,153,153,153,153,154,155,157,155,155,153,154,153,154,154,155,155,154,154,155,153,153,154,153,152,152,151,152,152,151,151,151,149,149,150,150,149,149,149,148,148,149,149,149,150,149,150,150,149,150,150,150,150,150,148,148,148,149,148,149,149,150,149,147,148,149,149,149,150,150,150,149,148,149,150,150,148,149,150,151
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8,8,8,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Coal,6,6,6,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,7,6,6,6,6,7,6,6,6,7,7,6,6,6,6,6,7,6,6,7,7,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,7,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,6,6,7,7
