 07/31/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,2404,2378,2584,2664,2671,2740,2802,2825,2922,2914,2914,2968,2973,2922,2925,2949,2925,2955,3048,3062,3021,3061,3056,3170,3145,3121,3074,3082,3088,3114,3127,3158,3191,3188,3179,3204,3191,3196,3183,3172,3159,3178,3176,3159,3097,3077,3076,3077,3032,3008,3048,3041,3064,3053,3043,3044,3062,3049,3062,3058,3059,3012,3020,3020,3039,3033,3060,3091,3107,3142,3156,3199,3186,3211,3292,3152,3044,2993,2957,2971,2934,2946,2906,2804,2797,2808,2841,2807,2783,2663,2502,2393,2156,1946,1762,1657,1607,1603,1911,1814,1796,1646,1565,1498,1357,1311,1227,1183,1103,1107,1082,1095,1073,1040,925,833,779,701,502,519,515,489,445,469,493,474,505,536,537,513,480,490,444,401,371,349,303,335,347,320,286,287,307,358,359,394,471,447,410,445,445,449,424,447,454,516,483,381,398,434,457,517,509,583,618,654,687,650,670,675,782,828,835,888,895,937,913,933,1019,986,1002,956,890,923,936,1015,1080,1081,985,1013,1062,1126,1188,1287,1322,1402,1402,1448,1479,1486,1494,1474,1435,1411,1431,1439,1416,1501,1524,1506,1574,1479,1415,1413,1512,1652,1679,1748,1819,1966,2044,2209,2262,2282,2316,2346,2381,2411,2444,2501,2669,2746,2838,2970,3014,2977,3006,2999,2999,2997,3027,3030,2967,2921,2931,2853,2856,2832,2831,2768,2735,2682,2683,2730,2808,2800,2849,2920,2917,2903,2912,2906,2928,2983,3043,3032,2995,3006,3055,3095,3124,3151,3184,3224,3207,3130,3132,3088,3006,2998,3054,3034,2975,2968,2943,2952,2976,2992
Natural gas,7868,7787,7638,7616,7584,7468,7356,7376,7215,7145,7042,7040,7023,6796,6599,6557,6470,6401,6585,6492,6346,6257,6245,6089,6082,6073,6059,6018,6002,5977,5919,5828,5773,5732,5708,5664,5641,5668,5831,5794,5772,5716,5690,5686,5708,5687,5666,5642,5689,5708,5728,5713,5676,5661,5653,5645,5639,5632,5617,5619,5618,5621,5361,5281,5271,5257,5225,5210,5206,5182,5164,5158,5157,5146,5104,5170,5215,5194,5179,5121,5112,5086,5035,5043,5035,5067,5267,5362,5389,5395,5255,5187,5273,5240,5159,5108,5090,5021,5172,5233,5285,5242,5225,5171,5176,5189,5140,5148,5129,5123,5204,5192,5155,5145,5158,5152,5189,5197,5225,5157,5238,5243,5279,5286,5320,5346,5386,5374,5360,5388,5353,5376,5398,5382,5348,5365,5392,5389,5451,5456,5456,5379,5321,5282,5274,5256,5408,5378,5381,5385,5384,5340,5351,5365,5402,5438,5536,5761,5825,5695,5701,5717,5765,5807,5841,5893,5933,5843,5843,5994,6107,6095,6079,6095,6138,6178,6235,6274,6283,6315,6441,6556,6632,6591,6623,6680,6707,6747,6747,6776,6824,6890,6880,6927,6937,6832,6849,6883,6924,6964,6939,7010,7056,7132,7263,7224,7052,7011,7026,7265,7331,7489,7637,7719,7711,7682,7725,7834,7941,7743,7716,7807,7900,8007,8051,8114,8203,8351,8440,8460,8319,8315,8323,8196,8177,8282,8375,8358,8351,8303,8257,8248,8307,8308,8276,8279,8230,8274,8262,8253,8237,8204,8152,8144,8070,8125,8125,8030,8005,7953,7941,7924,7857,7780,7703,7721,7460,7284,7224,7051,6925,6834,6767,6672,6584,6443,6320,6341,6241,6106,6047,5996,5968,5947,5899,5839,5809,5777
Biogas,111,111,111,111,111,111,110,110,110,110,110,110,110,110,110,110,109,109,111,111,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,111,111,111,111,111,110,110,110,110,110,111,110,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,110,110,110,110,110,110,109,110,110,110,110,110,110,110,110,110,109,110,110,110,110,111,111,112,112,112,112,112,112,112,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,114,114,114,115,114,114,114,114,113,113,113,113,113,112,112,112,112,113,112,113,113,112,112,113,112,113,113,113,113,113,113,112,112,112,112,113,112,112,112,112,112,112,112,112,112,111,111,112,114,113,112,113,112,113,113,113,113,113,112,113,114,113,113,113,112,112,112,112,112,112,112,112,113,113,113,113,113,113,113,113,112,112,113,112,113,113,113,113,113,113,112,111,111,111,111,112,111,111,111,112,113,112,113,112,111,111,111,111,113,114,115,115,115,115,114,113,112,112,112,111,110,110,110,110,109,109,110,110,110,110,110,110,110,110,111,112,112,112,112,112,112,112,112,111,111,111,111,111,110,110,110,111,111,111,111,112,112,111,111,111,110,110,111,110,110,110,111,111,111,110,109,109,109,109,109,109,109,109
Biomass,126,127,126,125,125,125,125,125,125,124,124,124,124,124,123,124,123,123,126,125,124,124,124,124,124,124,124,125,125,125,126,125,125,125,126,126,126,127,127,126,125,124,126,126,127,126,127,127,127,127,127,127,127,127,127,126,127,126,126,127,127,126,127,127,127,127,127,127,127,127,126,127,127,127,127,128,129,128,128,129,129,130,130,130,129,130,131,132,132,132,133,133,133,133,134,134,134,133,134,132,132,133,135,135,133,135,137,137,137,137,137,138,139,140,141,141,140,141,141,140,140,140,140,140,140,140,140,140,139,133,134,134,133,133,135,138,137,136,136,136,137,138,138,137,137,137,135,136,136,137,137,136,136,136,136,132,124,122,123,123,122,122,121,121,121,122,122,122,122,122,122,121,119,118,118,117,118,118,117,117,118,118,119,119,119,118,118,118,118,118,118,118,117,117,118,118,118,116,117,117,116,116,116,117,117,117,117,117,116,118,119,119,121,125,126,126,126,128,130,133,133,134,135,134,133,132,132,132,132,131,132,131,131,131,130,131,131,131,132,131,131,131,130,131,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,129,128,128,128,128,129,130,129,127,126,126,125,124,124,124,124,124,124,126,125,124,123,123,123,124,123,122,124,123
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8
Coal,7,6,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,6,7,7,7,6,6,6,6,6,7,7,8,6,5,5,4,4,4,3,3,3,3,3,3,4,3,3,4,4,4,5,5,6,7,7,7,7,7,7,6,6,7,6,6,6,6,6,7,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,6,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,6,7,6,6,6,6,7,7,6,6,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,6,6,6,6,6,6
