 03/16/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3689,3620,3566,3431,3371,3397,3370,3336,3288,3227,3221,3229,3233,3174,3176,3167,3129,3136,3165,3096,3093,3059,2995,3004,2999,2972,2954,2912,2908,2953,2907,2896,2896,2898,2893,2926,2906,2911,2920,2899,2877,2933,2914,2869,2873,2895,2866,2902,2886,2902,2905,2950,2906,2908,2920,2914,2909,2930,2923,2933,2952,3003,3098,3191,3146,3208,3157,3135,3102,3117,3154,3149,3164,3151,3186,3192,3224,3204,3173,3163,3213,3283,3313,3371,3384,3293,3266,3272,3159,3167,3080,3021,3029,2969,3001,2969,2759,2508,2385,2198,2041,1918,1790,1605,1637,1453,1432,1339,1228,1077,1025,890,825,753,823,795,751,687,627,483,403,491,601,635,628,612,601,649,754,737,759,737,731,713,809,859,846,908,1014,1076,1140,1162,1146,1149,1117,1132,1301,1352,1305,1364,1358,1353,1345,1314,1335,1330,1249,1230,1129,1114,1105,1060,1001,1019,1075,1078,1050,997,945,800,571,516,531,503,477,560,700,613,581,582,575,590,575,549,485,508,561,659,876,907,983,1012,989,909,872,933,897,834,748,738,706,713,716,702,747,861,956,1042,1085,1022,1107,1340,1621,1844,2121,2366,2644,2782,2780,3105,3333,3426,3456,3440,3456,3473,3435,3425,3559,3695,3856,3831,3858,3870,3900,3935,3955,3944,3964,4006,4014,4000,3921,3933,3934,3911,3911,3868,3898,3902,3915,3944,3950,3825,3698,3606,3569,3587,3603,3660,3728,3685,3674,3725,3683,3650,3637,3533,3506,3506,3456,3428,3514,3488,3498,3497,3382,3296,3101,3036,3052,3083,3123,3097,3130,3169,3192,3173
Natural gas,3572,3647,3718,3729,3752,3702,3656,3618,3594,3577,3540,3502,3472,3509,3500,3469,3441,3404,3422,3426,3410,3466,3451,3397,3394,3395,3417,3441,3436,3396,3419,3439,3440,3448,3461,3446,3477,3490,3505,3515,3539,3559,3599,3585,3583,3591,3586,3602,3632,3636,3774,3787,3816,3893,3979,4014,4039,4038,4035,4045,4046,4079,4165,4149,4283,4320,4331,4418,4601,4614,4670,4742,4741,4755,4916,5065,5202,5384,5560,5649,5764,5798,5856,5825,5826,5896,5952,5963,5849,5793,5789,5607,5313,5066,4858,4664,4626,4638,4541,4492,4435,4285,4156,4017,3754,3653,3564,3482,3402,3396,3373,3324,3270,3227,3051,2924,2823,2800,2802,2809,2737,2659,2554,2506,2452,2357,2306,2290,2253,2275,2323,2265,2208,2167,2064,1988,1929,1904,1774,1720,1632,1643,1601,1551,1473,1525,1592,1582,1545,1518,1583,1589,1579,1596,1567,1596,1583,1553,1489,1483,1453,1441,1419,1428,1525,1513,1523,1512,1554,1527,1563,1578,1560,1632,1671,1665,1672,1622,1634,1653,1685,1758,1979,1973,1997,2017,2027,1965,1958,1924,1956,2010,2043,2080,2218,2204,2267,2316,2321,2313,2348,2399,2462,2498,2534,2610,2492,2464,2506,2461,2548,2550,2575,2726,2837,2909,2947,3066,3271,3154,3193,3331,3570,3727,3986,4168,4397,4566,4578,4500,4466,4616,4761,4812,4835,4847,4879,4884,4874,4886,4900,4904,5063,4972,4896,4878,4894,4947,4848,4814,4829,4793,4760,4900,5107,5115,5073,5018,4972,4908,4869,4909,4924,4826,4797,4779,4690,4636,4600,4590,4587,4590,4455,4431,4371,4335,4304,4367,4529,4532,4442,4538,4532,4443,4420,4328,4287,4398
Biogas,101,101,101,100,100,101,100,100,100,101,102,103,104,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,104,104,104,104,104,104,104,106,110,109,108,110,110,110,111,109,110,109,111,112,112,112,113,113,113,113,115,115,115,115,115,115,115,115,115,116,115,116,115,115,117,116,117,117,117,117,117,118,119,119,120,120,120,121,121,121,121,121,121,121,121,121,121,121,121,119,119,118,117,116,115,114,114,114,113,113,113,112,112,113,113,113,113,113,112,113,113,112,111,110,111,112,112,113,113,114,114,115,115,115,115,116,116,116,116,117,117,116,116,115,115,115,116,116,115,114,115,116,116,116,116,116,116,115,114,114,114,115,115,114,114,115,115,116,116,117,116,116,117,117,117,117,118,118,119,119,119,119,119,119,119,119,119,120,121,121,121,120,120,120,120,120,120,119,119,119,119,119,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,120,120,120,121,120,120,119,120,120,119,118,118,116,116,117,117,118,118,117,117,117,118,118,118,118,119,119,119,119,119,119,119,119,118,118,118,118,118,117,118,118,118,118,119,119,118,118,118,118,118,118,118,118,117,117,116,115,115,115,114,115,114,114,114,114,114,114,115,115,115,115,116,115,116,116,115,116
Biomass,106,107,107,105,105,106,105,105,105,104,105,106,105,104,105,105,105,106,108,107,108,108,108,108,109,108,108,108,108,108,108,109,108,108,107,108,108,109,109,109,110,109,109,109,108,107,108,108,107,106,108,108,108,109,110,111,111,111,111,111,110,110,113,113,113,114,113,113,115,115,115,115,114,114,114,114,117,117,118,119,119,119,120,121,121,121,121,121,120,120,121,120,120,119,119,118,117,117,117,115,114,113,112,112,111,109,109,109,111,111,112,112,111,112,111,111,111,110,112,112,112,113,115,116,114,114,114,113,113,114,114,115,114,114,114,114,114,113,113,114,115,115,115,114,114,114,115,115,115,115,115,114,113,113,114,114,113,114,114,113,113,113,113,114,114,114,115,113,114,114,114,115,114,114,114,115,117,117,117,117,117,117,117,117,117,117,117,117,116,116,116,116,116,115,117,118,118,117,117,117,117,117,116,116,116,115,116,115,116,116,117,118,118,118,119,118,118,118,118,119,117,116,115,113,113,114,114,115,116,114,113,113,114,114,114,114,115,114,114,113,112,112,113,114,113,113,113,114,115,114,114,114,113,114,116,116,115,115,114,114,114,114,114,115,114,114,115,113,112,112,111,110,110,109,109,110,109,110,111,111,110,110,112,111,112,112,112,112
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,9,10,10,10,10,10,10,10,10,10,10,10
Coal,14,13,14,13,13,13,13,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,14,14,13,13,13,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,13,13,13,14,14,13,14,15,14,14,14,14,14,13,13,13,13,14,14,14,13,14,14,14,15,15,15,14,14,14,15,15,15,15,15,15,16,13,11,12,12,13,13,13,13,14,14,14,13,12,13,14,13,13,14,13,13,12,12,13,12,13,13,13,14,14,13,13,13,13,13,13,14,14,14,13,13,13,14,13,13,13,13,11,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,13,12,12,12,12,12,12,12,12,11,12,12,12,13,12,12,13,13,12,12,12,12,11,12,12,11,12,12,13,13,13,13,13,13,13,14,14,13,12,11,12,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12,13,13,12,13,13,12,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,12,11,11,12,12,11,12,12,11,12,12,11,11,11,12,13,12,12,13,12,12,11,11,11,11,11,11,11,11,12,12,11,11,11,12,11,11,12,12,11
