 09/19/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3225,3217,3268,3299,3289,3292,3248,3255,3221,3206,3151,3142,3146,3132,3224,3206,3165,3143,3089,3067,3047,3028,3019,2981,2973,2970,2938,2953,2968,2996,3035,3059,3049,3043,3061,3069,3052,3050,3146,3196,3263,3296,3255,3271,3288,3310,3318,3332,3299,3281,3278,3250,3219,3225,3214,3206,3230,3221,3236,3235,3276,3312,3371,3434,3457,3486,3478,3484,3460,3465,3462,3477,3453,3406,3350,3414,3429,3444,3402,3350,3340,3393,3412,3364,3320,3247,3165,3143,3097,3068,3005,2864,2733,2614,2512,2438,2341,2235,2187,1925,1865,1805,1712,1678,1694,1617,1542,1470,1414,1310,1107,984,939,840,775,700,662,535,453,381,315,250,261,205,221,223,240,311,443,451,453,517,483,451,305,216,111,60,81,168,260,416,407,296,266,281,266,321,318,272,260,288,344,366,360,340,395,412,337,270,323,300,392,390,318,310,369,514,591,620,603,675,661,633,625,667,684,736,713,677,694,756,876,934,933,946,992,1013,903,956,971,1061,1196,1256,1381,1473,1534,1577,1648,1703,1629,1735,1938,2019,2082,2043,2016,2057,2234,2332,2425,2427,2407,2488,2562,2701,2848,3015,3105,3229,3414,3502,3567,3600,3697,3714,3726,3781,3852,3863,3940,4011,4018,4115,4084,4126,4162,4195,4210,4214,4192,4125,4052,4062,3981,3954,3960,3958,3889,3898,3881,3880,3838,3733,3639,3618,3618,3701,3738,3754,3889,3884,3903,3908,3811,3721,3569,3552,3528,3585,3574,3612,3616,3585,3584,3563,3559,3546,3482,3460,3477,3494,3463,3430,3476,3488,3499,3513
Natural gas,3310,3242,3240,3234,3204,3157,3163,3135,3128,3109,3116,3098,3065,3036,2928,2872,2859,2842,2850,2850,2850,2859,2841,2836,2804,2794,2845,2792,2764,2757,2720,2740,2768,2734,2706,2733,2714,2687,2617,2593,2552,2556,2578,2548,2541,2526,2512,2539,2552,2556,2523,2553,2578,2565,2568,2574,2538,2551,2568,2579,2577,2609,2628,2619,2666,2706,2709,2698,2719,2665,2672,2661,2654,2697,2701,2673,2686,2706,2730,2744,2722,2690,2636,2637,2644,2600,2597,2515,2432,2297,2189,2134,2078,2064,2052,2210,2210,2168,1898,1679,1581,1582,1555,1637,1880,1925,1927,1929,1904,1935,1880,1867,1867,1874,1843,1843,1856,1835,1853,1905,1866,1854,1866,1889,1876,1871,1885,1889,2032,2057,2051,2076,2088,2067,2042,2052,2141,2108,2077,2006,1957,2031,2034,1928,1872,1868,1883,1879,1860,1853,1817,1810,1824,1838,1843,1826,1854,1818,1844,1829,1855,1830,1810,1785,1767,1746,1776,1894,1910,1947,1987,1994,1925,1861,1812,1833,1839,1920,1962,1969,1962,1967,2008,1977,1949,1955,1995,2006,1911,1919,1918,1987,2074,2075,2190,2258,2322,2347,2407,2437,2377,2356,2437,2454,2488,2582,2629,2722,2768,2811,2920,3040,3375,3477,3463,3547,3585,3609,3541,3546,3575,3605,3722,3794,3799,3825,3844,3903,3951,3953,3891,3883,3905,3888,3921,3859,3862,3854,3787,3766,3776,3816,3934,3930,3914,3878,3862,3868,3934,3881,3866,3865,3863,3922,4007,4011,4006,3931,3912,3953,3854,3877,3813,3677,3662,3679,3667,3594,3525,3407,3285,3298,3256,3218,3205,3180,3139,3150,3161,3105,3046,2992,3002,2963,2940,2925,2904,2884
Biogas,113,112,111,113,111,107,105,107,104,104,104,104,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,106,106,106,106,106,106,106,106,106,105,106,107,108,108,108,108,108,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,109,109,109,110,112,109,109,112,111,108,108,111,115,117,116,119,120,120,118,114,111,111,108,109,113,117,120,117,114,112,112,113,113,114,114,114,113,112,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,110,111,110,110,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,112,113,113,113,113,113,113,112,112,111,111,112,109,109,109,109,109,108,108,108,107,107,107,108,107,107,107,106,106,106,106,106,106,107,107,107,108,108,107,107,107,105,106,106,107,109,113,116,116,116,115,115,116,116,116,114,114,114,114,113,113,113,113,113,113,112,112,112,112,112,112,112,113,113,113,113,113,113,113,114,114,114,114,115,115,114,114,114,114,114,114,114,114,114,114,114,113,113,112,112,112,112,111,111,111,110,110,110,110,110,109,108,109,109,109,109,109,110,110,110,110,111,111,111,111,112,112,112,112
Biomass,148,149,149,149,150,151,151,151,151,152,151,151,152,153,152,152,152,153,153,153,153,153,153,152,151,152,152,151,151,152,153,154,155,153,153,153,153,154,154,155,156,157,157,157,156,157,158,158,158,159,158,156,155,157,157,158,158,159,159,159,158,158,157,157,156,156,156,155,155,154,153,153,154,155,155,156,157,156,155,153,153,154,154,153,152,153,154,154,155,154,154,155,155,156,155,155,155,155,153,149,150,150,150,151,150,150,150,151,151,151,149,148,149,148,148,149,150,149,149,149,150,151,150,151,151,150,151,152,151,152,152,152,152,153,151,150,151,151,153,151,150,152,151,151,151,150,150,152,151,151,151,151,151,151,151,152,150,151,151,151,153,153,153,154,154,154,155,153,153,153,154,152,150,149,149,150,148,149,149,149,150,150,148,147,147,148,148,147,147,148,148,148,148,148,148,149,150,148,148,148,149,150,150,149,149,148,148,147,148,147,146,143,144,145,143,143,142,141,140,140,139,140,140,140,139,138,139,139,139,139,139,140,139,139,140,139,140,140,140,140,140,140,139,140,139,139,140,140,139,140,141,141,142,142,141,141,141,141,140,141,141,140,139,138,137,137,137,137,135,135,133,133,133,134,135,134,134,135,135,136,135,136,137,137,137,137,138,139
Geothermal,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
Coal,15,15,15,14,15,15,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,15,15,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,15,15,16,15,15,16,15,15,15,15,15,15,16,16,16,15,16,16,16,16,16,16,16,15,16,16,16,15,15,15,15,15,15,15,15,16,16,16,16,15,15,15,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15,15,14,15,15,14,15,15,15,15,15,15,15,14,14,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,15,15,15,14,15,15,15,15,15,14,15,15,15,14,14,14,15,15,15,15,16,16,15,15,15,15,15,15,16,15,15,15,15,15,15,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,14,14,15,15,14,14,13,13,14,14,13,13,13,15,15,15,15,15,14,14,13,13,13,13,14,14,14,14,14,14,15,14,14,14,14,13,13,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
