 05/26/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Imports,3565,3469,3498,3416,3396,3414,3395,3374,3302,3269,3255,3242,3210,3256,3313,3383,3448,3513,3505,3545,3646,3606,3557,3540,3556,3571,3568,3568,3583,3598,3570,3583,3576,3521,3535,3567,3577,3540,3561,3549,3563,3574,3589,3607,3587,3557,3532,3512,3527,3527,3486,3504,3517,3498,3504,3461,3449,3452,3418,3416,3410,3365,3394,3410,3428,3352,3373,3453,3502,3463,3498,3504,3516,3540,3570,3576,3565,3573,3556,3571,3579,3578,3627,3542,3455,3334,3306,3240,3184,3167,3044,2979,2968,2833,2706,2708,2590,2578,2472,2260,2131,2036,2016,1965,1932,1933,1922,1949,1918,1878,1877,1778,1692,1667,1606,1709,1643,1570,1501,1473,1383,1440,1421,1397,1392,1350,1248,1142,1063,1147,1175,1127,1057,1027,1078,1089,1024,1012,998,1033,998,989,992,986,980,915,933,958,963,999,1030,1012,1050,990,992,1038,1030,1059,1092,1108,1141,1080,1077,1076,1114,1102,1138,1236,1254,1221,1042,1004,1029,1094,1099,1111,1146,1127,1140,1134,1100,1107,1126,1165,1189,1097,1111,1058,1043,1058,1048,1076,1015,1011,980,987,1036,975,990,944,903,942,938,942,886,921,874,989,1090,1194,1260,1287,1283,1317,1388,1475,1545,1687,1854,1986,2170,2256,2245,2304,2444,2541,2657,2687,2858,2916,2998,3115,3220,3327,3315,3284,3245,3238,3243,3243,3331,3303,3443,3497,3580,3599,3605,3628,3611,3635,3615,3584,3568,3546,3618,3634,3676,3678,3716,3649,3612,3675,3653,3647,3627,3574,3382,3278,3247,3279,3277,3251,3446,3370,3335,3333,3261,3191,3107,3070,3118,3135,3134,3137,3203,3159,3119,3086
Natural gas,3369,3412,3377,3382,3371,3389,3436,3371,3368,3306,3247,3212,3184,3155,3110,2993,2892,2802,2766,2759,2787,2929,2971,2967,2898,2912,2963,2979,2943,2930,2966,3008,3006,2994,2958,2954,2932,2998,2970,2968,2937,2893,2855,2862,2889,2909,2920,2906,2900,2887,2911,2911,2922,2932,2949,2994,3055,3058,3098,3133,3184,3192,3172,3166,3148,3048,3055,3073,3055,3059,3028,3037,3040,3073,3118,3123,3119,3129,3135,3110,3107,3109,3096,3108,3116,3140,3172,3160,3086,3054,2961,2793,2648,2616,2597,2507,2450,2484,2726,2773,2782,2815,2720,2711,2629,2588,2593,2570,2500,2543,2575,2553,2516,2476,2452,2464,2558,2626,2590,2609,2700,2649,2607,2553,2416,2362,2410,2459,2445,2409,2424,2401,2404,2396,2513,2565,2562,2495,2439,2550,2598,2544,2609,2675,2691,2669,2590,2600,2619,2602,2629,2669,2681,2715,2652,2650,2660,2652,2606,2610,2594,2594,2646,2610,2584,2638,2604,2576,2582,2654,2471,2407,2348,2374,2328,2339,2351,2399,2399,2435,2453,2456,2496,2488,2541,2586,2551,2615,2695,2769,2845,2939,3011,3121,3110,3095,3152,3194,3175,3234,3299,3317,3362,3432,3471,3466,3385,3366,3334,3330,3367,3490,3585,3541,3601,3672,3771,3820,3678,3613,3619,3788,3991,4120,4216,4330,4432,4710,4798,4821,4690,4660,4664,4693,4771,4865,4919,4917,4958,4999,4992,4981,4940,4947,4830,4766,4733,4723,4711,4695,4630,4614,4581,4603,4588,4580,4564,4492,4447,4469,4620,4528,4437,4362,4315,4325,4336,4365,4356,4344,4346,4327,4065,3977,4018,3941,3901,3847,3788,3725,3682,3632,3592,3564,3570,3549,3514,3463
Biogas,111,112,112,111,110,111,111,111,111,111,111,112,111,112,113,113,113,113,113,114,114,115,114,114,114,114,115,115,115,115,115,115,115,114,114,115,115,115,115,115,115,114,114,115,115,115,114,114,114,114,114,114,114,114,114,114,115,115,114,114,115,115,115,115,114,114,115,115,114,114,114,114,114,114,115,114,115,114,115,114,114,115,116,115,114,114,114,115,115,115,115,117,117,119,118,118,119,119,120,120,120,119,119,118,118,119,121,122,122,123,123,124,125,126,127,128,129,128,127,127,128,128,127,127,126,125,123,122,121,121,121,121,121,121,120,120,121,120,120,121,122,121,121,120,120,119,118,118,119,120,120,121,121,121,120,120,120,122,122,122,122,123,123,123,122,122,121,118,116,115,115,116,117,117,117,117,117,118,115,116,116,116,116,115,115,116,116,115,115,115,116,118,119,119,119,118,117,117,117,117,117,118,118,118,117,116,116,116,116,116,117,117,116,117,116,116,116,116,116,116,116,116,116,115,115,115,115,116,117,116,116,115,115,116,116,116,116,116,116,116,116,115,115,115,115,115,115,115,115,114,114,114,114,114,114,114,114,114,114,114,115,115,114,115,114,114,114,114,114,114,114,114,114,113,113,113,112,112,112,112,112,112,113,113,113,114,113,114
Biomass,143,143,143,142,142,142,143,142,142,142,142,142,142,143,144,144,144,144,145,146,146,146,146,145,145,147,147,145,145,145,146,146,145,145,146,148,149,148,150,152,154,153,153,154,154,154,154,154,154,155,155,155,155,154,154,154,155,155,154,153,154,156,155,155,155,154,154,155,154,152,153,154,154,154,155,155,155,155,155,155,155,156,159,159,160,158,158,159,159,161,162,163,165,166,166,167,167,166,165,166,166,165,164,165,165,166,172,174,174,183,189,190,191,192,180,182,184,188,179,180,190,193,192,192,192,191,188,187,185,185,186,185,185,184,184,185,184,184,184,183,184,184,185,185,186,185,186,186,187,188,188,190,191,192,192,190,189,190,166,166,166,166,166,166,166,165,165,165,164,164,164,164,164,165,165,164,164,165,165,165,166,166,166,167,167,167,166,167,167,167,168,168,170,170,170,168,167,168,168,169,168,168,169,170,169,167,168,167,167,167,167,167,167,166,166,166,166,166,166,166,165,164,164,162,161,161,160,162,164,163,162,162,162,162,162,162,163,162,162,162,161,159,160,159,159,158,158,158,158,158,158,157,156,158,156,158,159,159,158,158,160,160,160,160,159,158,158,157,156,156,154,155,155,153,154,154,152,152,152,153,153,152,152,154,154,154,154,154
Geothermal,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Coal,17,17,18,18,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,16,16,16,16,15,15,15,15,15,15,15,15,15,16,16,16,16,15,16,16,16,15,15,15,15,16,16,16,16,16,16,16,16,16,16,15,15,16,16,16,16,16,15,16,16,15,16,16,15,16,16,15,15,16,15,15,15,15,15,16,15,16,16,16,16,15,15,15,15,15,16,16,17,17,17,17,18,17,16,16,16,16,16,16,17,17,17,16,17,16,17,17,17,17,18,17,17,16,17,17,17,17,16,16,16,16,16,16,16,17,17,17,16,16,16,16,16,16,16,17,17,16,17,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,15,16,15,16,16,16,16,16,17,18,17,17,17,17,17,17,16,16,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,16,15,14,15,15,15,16,15,15,15,15,16,15,15,15,15,16,15,15,14,15,14,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,15,15,14,14,14,14,14,15,15,15,16,15,15,15,15,16,16,16,16,15,15,15,15,15,15,15,15,15,15,14,15,15
